name,sub_name,wongnai_url,restaurantType,facility,description,imgPath,phone,website,openingHour,priceRange,latitude,longitude,address,province,district,subDistrict,province_code,district_code,sub_district_code,score,ratingCount
Baba Pool Club @ศรีพันวา,,https://www.wongnai.com/restaurants/babapoolclub?_st=cD0xMDtiPTI2MjA5O2FkPWZhbHNlO3Q9MTcyNjkzNTkyNDEzNjtyaT0xWDdiNkxZWkNBVTJNWW5TSTFKZllwdWRoeDltUzk7aT0xWDcwWmZLOWhJZTBEQ1NFZU1iTUwyRlNBMkNhRnQ7d3JlZj1zcjs%3D,"['กึ่งผับ/ร้านเหล้า/บาร์', 'อาหารนานาชาติ']",[],,[''],[],{},{},,0,0,,,,,0,0,0,0,0
ร้านน้ำย้อย,,https://www.wongnai.com/restaurants/110423VC-%E0%B8%A3%E0%B9%89%E0%B8%B2%E0%B8%99%E0%B8%99%E0%B9%89%E0%B8%B3%E0%B8%A2%E0%B9%89%E0%B8%AD%E0%B8%A2?_st=cD0xMTtiPTExMDQyMzthZD1mYWxzZTt0PTE3MjY5MzU5MjQxMzY7cmk9MVg3YjZMWVo3S245WGVOZ1Z0RTgyUHZDQ0VWbGhlO2k9MVg3MFpmSzloSWUwRENTRWVNYk1MMkZTQTJDYUZ0O3dyZWY9c3I7,"['อาหารไทย', 'อาหารใต้']",[],,[''],[],{},{},,0,0,,,,,0,0,0,0,0
หมอมูดง,,https://www.wongnai.com/restaurants/mormudong?_st=cD0wO2I9ODY5O2FkPWZhbHNlO3Q9MTcyNjkzNTk2MzM4NztyaT0xWDdiNkxZZTJQaUY3d2NqekVEcjZXVFNRdm9kTk47aT0xWDcwWmZLRWNNUENPb2gySW9TdTV4U3dPa3E5Yms7d3JlZj1zcjs%3D,['อาหารใต้'],[],,[''],[],{},{},,0,0,,,,,0,0,0,0,0
Oishi Kitchen,ภายใต้ครัว Shabushi โรบินสันถลาง,https://www.wongnai.com/restaurants/2153717KW-oishi-kitchen-%E0%B8%A0%E0%B8%B2%E0%B8%A2%E0%B9%83%E0%B8%95%E0%B9%89%E0%B8%84%E0%B8%A3%E0%B8%B1%E0%B8%A7-shabushi-%E0%B9%82%E0%B8%A3%E0%B8%9A%E0%B8%B4%E0%B8%99%E0%B8%AA%E0%B8%B1%E0%B8%99%E0%B8%96%E0%B8%A5%E0%B8%B2%E0%B8%87?_st=cD0xO2I9MjE1MzcxNzthZD1mYWxzZTt0PTE3MjY5MzU5NjMzOTg7cmk9MVg3YjZMWWUxd1VxRzFKYVJKM2xuRmhwclhXbGRWO2k9MVg3MFpmS0VjTVBDT29oMklvU3U1eFN3T2txOWJrO3dyZWY9c3I7,['อาหารญี่ปุ่น'],[],,[''],[],{},{},,0,0,,,,,0,0,0,0,0
ริมทาง @ ฉลอง,,https://www.wongnai.com/restaurants/247675aI-%E0%B8%A3%E0%B8%B4%E0%B8%A1%E0%B8%97%E0%B8%B2%E0%B8%87-%E0%B8%89%E0%B8%A5%E0%B8%AD%E0%B8%87?_st=cD0yO2I9MjQ3Njc1O2FkPWZhbHNlO3Q9MTcyNjkzNTk2MzQwMjtyaT0xWDdiNkxZZTJmYjYyQTJCTkJndDFDeFQ1R0gwUXA7aT0xWDcwWmZLRWNNUENPb2gySW9TdTV4U3dPa3E5Yms7d3JlZj1zcjs%3D,"['คาเฟ่', 'ของหวาน', 'เครื่องดื่ม/น้ำผลไม้']",[],,[''],[],{},{},,0,0,,,,,0,0,0,0,0
KUMA Sushi x Yakiniku,ภูเก็ต,https://www.wongnai.com/restaurants/254866et-kuma-sushi-x-yakiniku-%E0%B8%A0%E0%B8%B9%E0%B9%80%E0%B8%81%E0%B9%87%E0%B8%95?_st=cD0zO2I9MjU0ODY2O2FkPWZhbHNlO3Q9MTcyNjkzNTk2MzQwMztyaT0xWDdiNkxZZTVCM2pGWnVYTDNWb0R2ZjJ4V3lXNGg7aT0xWDcwWmZLRWNNUENPb2gySW9TdTV4U3dPa3E5Yms7d3JlZj1zcjs%3D,"['บุฟเฟ่ต์', 'ปิ้งย่าง', 'อาหารญี่ปุ่น']",[],,[''],[],{},{},,0,0,,,,,0,0,0,0,0
Phuketique Coffee Bar,,https://www.wongnai.com/restaurants/139044Jz-phuketique-coffee-bar?_st=cD00O2I9MTM5MDQ0O2FkPWZhbHNlO3Q9MTcyNjkzNTk2MzQwMztyaT0xWDdiNkxZZTRMOTNVOGZrTVRIMms5d0N3eGZ2OUs7aT0xWDcwWmZLRWNNUENPb2gySW9TdTV4U3dPa3E5Yms7d3JlZj1zcjs%3D,"['ของหวาน', 'กึ่งผับ/ร้านเหล้า/บาร์']",[],,[''],[],{},{},,0,0,,,,,0,0,0,0,0
สังกะสี,,https://www.wongnai.com/restaurants/sanggasee?_st=cD01O2I9MTEyNjI7YWQ9ZmFsc2U7dD0xNzI2OTM1OTYzNDA1O3JpPTFYN2I2TFllNGFIZ1RqNnFNOG1PTVp1Z29kWTIydTtpPTFYNzBaZktFY01QQ09vaDJJb1N1NXhTd09rcTliazt3cmVmPXNyOw%3D%3D,['อาหารใต้'],[],,[''],[],{},{},,0,0,,,,,0,0,0,0,0
ครัวไพลิน,,https://www.wongnai.com/restaurants/1709985su-%E0%B8%84%E0%B8%A3%E0%B8%B1%E0%B8%A7%E0%B9%84%E0%B8%9E%E0%B8%A5%E0%B8%B4%E0%B8%99,['อาหารไทย'],[],,[''],[],{},{},,0,0,,,,,0,0,0,0,0
หมูกรอบภูเก็ต(จี้ฮอง),,https://www.wongnai.com/restaurants/135196el-%E0%B8%AB%E0%B8%A1%E0%B8%B9%E0%B8%81%E0%B8%A3%E0%B8%AD%E0%B8%9A%E0%B8%A0%E0%B8%B9%E0%B9%80%E0%B8%81%E0%B9%87%E0%B8%95-%E0%B8%88%E0%B8%B5%E0%B9%89%E0%B8%AE%E0%B8%AD%E0%B8%87,['อาหารจานเดียว'],[],,[''],[],{},{},,0,0,,,,,0,0,0,0,0
Ryn - Authentic Tea & Slow drop Coffee,Phuket,https://www.wongnai.com/restaurants/348685Aq-ryn-authentic-tea-slow-drop-coffee-phuket?_st=cD04O2I9MzQ4Njg1O2FkPWZhbHNlO3Q9MTcyNjkzNTk2MzQwNjtyaT0xWDdiNkxZZTNKdTFkQVdXbzVhS2JJMFp4WmcwaGk7aT0xWDcwWmZLRWNNUENPb2gySW9TdTV4U3dPa3E5Yms7d3JlZj1zcjs%3D,"['ร้านกาแฟ/ชา', 'คาเฟ่', 'เบเกอรี/เค้ก']",[],,[''],[],{},{},,0,0,,,,,0,0,0,0,0
ตู้กับข้าว,,https://www.wongnai.com/restaurants/tukabkhao?_st=cD05O2I9MjA2OTMwO2FkPWZhbHNlO3Q9MTcyNjkzNTk2MzQwNztyaT0xWDdiNkxZZTRDUWJNU0UzU1BnMHBXT2hiemIxOXY7aT0xWDcwWmZLRWNNUENPb2gySW9TdTV4U3dPa3E5Yms7d3JlZj1zcjs%3D,"['อาหารใต้', 'อาหารตามสั่ง']",[],,[''],[],{},{},,0,0,,,,,0,0,0,0,0
นามิ ซูชิ - Nami Sushi Phuket,,https://www.wongnai.com/restaurants/2631372Rg-%E0%B8%99%E0%B8%B2%E0%B8%A1%E0%B8%B4-%E0%B8%8B%E0%B8%B9%E0%B8%8A%E0%B8%B4-nami-sushi-phuket,['อาหารญี่ปุ่น'],[],,[''],[],{},{},,0,0,,,,,0,0,0,0,0
โชคชัยติ่มซำ,โชคชัยติ่มซำ,https://www.wongnai.com/restaurants/2622526HP-%E0%B9%82%E0%B8%8A%E0%B8%84%E0%B8%8A%E0%B8%B1%E0%B8%A2%E0%B8%95%E0%B8%B4%E0%B9%88%E0%B8%A1%E0%B8%8B%E0%B8%B3-%E0%B9%82%E0%B8%8A%E0%B8%84%E0%B8%8A%E0%B8%B1%E0%B8%A2%E0%B8%95%E0%B8%B4%E0%B9%88%E0%B8%A1%E0%B8%8B%E0%B8%B3?_st=cD0xO2I9MjYyMjUyNjthZD1mYWxzZTt0PTE3MjY5MzU5OTg0ODM7cmk9MVg3YjZMWWlQVDhuY0g5UWx1VTBoeXRBZmh1dFFpO2k9MVg3MFpmS0oweElJNlpZaFJ5QWxmS1pCMkRlWG5XO3dyZWY9c3I7,"['ติ่มซำ', 'อาหารจีน']",[],,[''],[],{},{},,0,0,,,,,0,0,0,0,0
พิเศษ,,https://www.wongnai.com/restaurants/333419oq-%E0%B8%9E%E0%B8%B4%E0%B9%80%E0%B8%A8%E0%B8%A9?_st=cD0yO2I9MzMzNDE5O2FkPWZhbHNlO3Q9MTcyNjkzNTk5ODQ5MztyaT0xWDdiNkxZaU9NZWExRTEzbTh1YjJNYUd5MHJQaUw7aT0xWDcwWmZLSjB4SUk2WlloUnlBbGZLWkIyRGVYblc7d3JlZj1zcjs%3D,"['อาหารทะเล', 'อาหารไทย']",[],,[''],[],{},{},,0,0,,,,,0,0,0,0,0
ภูเก็ต - ระย้า,,https://www.wongnai.com/restaurants/rayaa?_st=cD0zO2I9ODQ1O2FkPWZhbHNlO3Q9MTcyNjkzNTk5ODQ5NTtyaT0xWDdiNkxZaVZMZndqZ1VKdHBobUV5TFBxRlNsRzM7aT0xWDcwWmZLSjB4SUk2WlloUnlBbGZLWkIyRGVYblc7d3JlZj1zcjs%3D,"['อาหารใต้', 'อาหารไทย']",[],,[''],[],{},{},,0,0,,,,,0,0,0,0,0
Five Star,โลตัสสามกอง,https://www.wongnai.com/restaurants/1750079zr-five-star-%E0%B9%82%E0%B8%A5%E0%B8%95%E0%B8%B1%E0%B8%AA%E0%B8%AA%E0%B8%B2%E0%B8%A1%E0%B8%81%E0%B8%AD%E0%B8%87?_st=cD00O2I9MTc1MDA3OTthZD1mYWxzZTt0PTE3MjY5MzU5OTg0OTc7cmk9MVg3YjZMWWlVQTdJS1BremZhcFFmOFNFVjk2a2pBO2k9MVg3MFpmS0oweElJNlpZaFJ5QWxmS1pCMkRlWG5XO3dyZWY9c3I7,"['ปิ้งย่าง', 'สตรีทฟู้ด/รถเข็น']",[],,[''],[],{},{},,0,0,,,,,0,0,0,0,0
