name,type,description,latitude,longitude,imgPath,phone,website,openingHour,address,province,district,subDistrict,province_code,district_code,sub_district_code,score,ratingCount,Tourism,Adventure,Meditation,Art,Cultural,Landscape,Nature,Historical,Cityscape,Beach,Mountain,Architecture,Temple,WalkingStreet,Market,Village,NationalPark,Diving,Snuggle,Waterfall,Island,Shopping,Camping,Fog,Cycling,Monument,Zoo,Waterpark,Hiking,Museum,Riverside,NightLife,Family,Kid,Landmark,Forest
ถนนบางลา,['สถานที่สำคัญ/จุดที่น่าสนใจ'],,7.893388,98.29736,[],,https://th.tripadvisor.com/Attraction_Review-g297930-d1866109-Reviews-Bangla_Road-Patong_Kathu_Phuket.html,{},"Soi Bangla, ป่าตอง, กะทู้, จังหวัดภูเก็ต 83150 ไทย",ภูเก็ต,กะทู้,,83,8302,0,4.0,21021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
พระใหญ่เมืองภูเก็ต,"['สถานที่ทางศาสนาและสถานที่ศักดิ์สิทธิ์', 'สถานที่สำคัญ/จุดที่น่าสนใจ']",,7.827575,98.31284,[],,https://th.tripadvisor.com/Attraction_Review-g1389361-d2433844-Reviews-Big_Buddha_Phuket-Chalong_Phuket_Town_Phuket.html,"{'จันทร์': '08:00-18:30', 'อังคาร': '08:00-18:30', 'พุธ': '08:00-18:30', 'พฤหัสบดี': '08:00-18:30', 'ศุกร์': '08:00-18:30', 'เสาร์': '08:00-18:30', 'อาทิตย์': '08:00-18:30'}",R8H7+24G ตำบล กะรน อำเภอเมืองภูเก็ต ภูเก็ต,ภูเก็ต,เมืองภูเก็ต,,83,8301,0,4.5,16875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
หาดกะตะ,['ชายหาด'],,7.820073,98.29803,[],,https://th.tripadvisor.com/Attraction_Review-g1210687-d450974-Reviews-Kata_Beach-Kata_Beach_Karon_Phuket.html,{},R7CX+26C ตำบล กะรน อำเภอเมืองภูเก็ต ภูเก็ต,ภูเก็ต,เมืองภูเก็ต,,83,8301,0,4.0,8343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Green Elephant Sanctuary Park,['สถานที่ชมธรรมชาติ/ชีวิตสัตว์ป่า'],,7.978757,98.3094,[],,https://th.tripadvisor.com/Attraction_Review-g1224250-d13237105-Reviews-Green_Elephant_Sanctuary_Park-Choeng_Thale_Thalang_District_Phuket.html,"{'จันทร์': '08:00-17:00', 'อังคาร': '08:00-17:00', 'พุธ': '08:00-17:00', 'พฤหัสบดี': '08:00-17:00', 'ศุกร์': '08:00-17:00', 'เสาร์': '08:00-17:00', 'อาทิตย์': '08:00-17:00'}",X8H5+GQ2 ตำบลเชิงทะเล อำเภอถลาง ภูเก็ต,ภูเก็ต,ถลาง,,83,8303,0,5.0,2562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
