name,type,description,latitude,longitude,imgPath,phone,website,openingHour,address,province,district,subDistrict,province_code,district_code,sub_district_code,score,ratingCount,Tourism,Adventure,Meditation,Art,Cultural,Landscape,Nature,Historical,Cityscape,Beach,Mountain,Architecture,Temple,WalkingStreet,Market,Village,NationalPark,Diving,Snuggle,Waterfall,Island,Shopping,Camping,Fog,Cycling,Monument,Zoo,Waterpark,Hiking,Museum,Riverside,NightLife,Family,Kid,Landmark,Forest
เลิฟ ไดวิ่ง ภูเก็ต,['การดำน้ำลึกและการดำน้ำตื้น'],,7.893529,98.297264,[''],,https://th.tripadvisor.com/Attraction_Review-g297930-d2552783-Reviews-Love_Diving_Phuket-Patong_Kathu_Phuket.html,"{'จันทร์': '12:00-21:00', 'อังคาร': '12:00-21:00', 'พุธ': '12:00-21:00', 'พฤหัสบดี': '12:00-21:00', 'ศุกร์': '12:00-21:00', 'เสาร์': '12:00-21:00', 'อาทิตย์': '12:00-21:00'}",V7VW+CW6 ตำบลป่าตอง อำเภอกะทู้ ภูเก็ต,ภูเก็ต,กะทู้,,83,8302,0,5.0,1245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andaman Sea Kayaks,['การพายเรือคายัคและการพายเรือแคนู'],,7.88866,98.38002,[''],,https://th.tripadvisor.com/Attraction_Review-g293920-d1099123-Reviews-Andaman_Sea_Kayaks-Phuket.html,"{'จันทร์': '08:00-20:00', 'อังคาร': '08:00-20:00', 'พุธ': '08:00-20:00', 'พฤหัสบดี': '08:00-20:00', 'ศุกร์': '08:00-20:00', 'เสาร์': '08:00-20:00', 'อาทิตย์': '08:00-20:00'}",V9QJ+F26 ตำบล วิชิต อำเภอเมืองภูเก็ต ภูเก็ต,ภูเก็ต,เมืองภูเก็ต,,83,8301,0,5.0,509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Junk Liveaboards,['การดำน้ำลึกและการดำน้ำตื้น'],,7.859957,98.35296,[''],,https://th.tripadvisor.com/Attraction_Review-g23673126-d7058844-Reviews-The_Junk_Liveaboards-Chalong_Phuket.html,"{'จันทร์': '09:00-17:00', 'อังคาร': '09:00-17:00', 'พุธ': '09:00-17:00', 'พฤหัสบดี': '09:00-17:00', 'ศุกร์': '09:00-17:00', 'เสาร์': '09:00-17:00', 'อาทิตย์': 'ปิด'}",V953+X5P ตำบล ฉลอง อำเภอเมืองภูเก็ต ภูเก็ต,ภูเก็ต,เมืองภูเก็ต,,83,8301,0,5.0,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACDC Diving,['การดำน้ำลึกและการดำน้ำตื้น'],,7.840755,98.34509,[''],,https://th.tripadvisor.com/Attraction_Review-g1215781-d12855611-Reviews-ACDC_Diving-Phuket_Town_Phuket.html,"{'จันทร์': '08:00-21:00', 'อังคาร': '08:00-21:00', 'พุธ': '08:00-21:00', 'พฤหัสบดี': '08:00-21:00', 'ศุกร์': '08:00-21:00', 'เสาร์': '08:00-21:00', 'อาทิตย์': '08:00-21:00'}",R8RW+824 ตำบล ฉลอง อำเภอเมืองภูเก็ต ภูเก็ต,ภูเก็ต,เมืองภูเก็ต,,83,8301,0,5.0,546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
พาราไดส์ ไดวิ่ง เอเซีย,['การดำน้ำลึกและการดำน้ำตื้น'],,8.087546,98.29767,[''],,https://th.tripadvisor.com/Attraction_Review-g1215773-d3484633-Reviews-Paradise_Diving_Asia-Nai_Yang_Sakhu_Thalang_District_Phuket.html,"{'จันทร์': '10:00-16:00', 'อังคาร': '10:00-16:00', 'พุธ': '10:00-16:00', 'พฤหัสบดี': '10:00-16:00', 'ศุกร์': '10:00-16:00', 'เสาร์': '10:00-16:00', 'อาทิตย์': '10:00-16:00'}",37QX+237 ตำบลสาคู อำเภอถลาง ภูเก็ต,ภูเก็ต,ถลาง,,83,8303,0,5.0,290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Andaman Leisure Phuket Co., Ltd.","['การดำน้ำลึกและการดำน้ำตื้น', 'การท่องเที่ยวโดยเรือเร็ว', 'การพายเรือคายัคและการพายเรือแคนู']",,8.19699,98.49116,[''],,https://th.tripadvisor.com/Attraction_Review-g1215781-d1222191-Reviews-Andaman_Leisure_Phuket_Co_Ltd-Phuket_Town_Phuket.html,"{'จันทร์': '07:00-21:00', 'อังคาร': '07:00-21:00', 'พุธ': '07:00-21:00', 'พฤหัสบดี': '07:00-21:00', 'ศุกร์': '07:00-21:00', 'เสาร์': '07:00-21:00', 'อาทิตย์': '07:00-21:00'}",,,,,0,0,0,4.5,539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ซันไรซ์ ไดเวอส์,"['การดำน้ำลึกและการดำน้ำตื้น', 'กีฬาทางน้ำ']",,7.834919,98.298004,[''],,https://th.tripadvisor.com/Attraction_Review-g1215780-d1849080-Reviews-Sunrise_Divers-Karon_Phuket.html,"{'จันทร์': '09:00-17:00', 'อังคาร': '09:00-17:00', 'พุธ': '09:00-17:00', 'พฤหัสบดี': '09:00-17:00', 'ศุกร์': '09:00-17:00', 'เสาร์': '10:00-17:00', 'อาทิตย์': '10:00-17:00'}",R7MX+X66 ตำบล กะรน อำเภอเมืองภูเก็ต ภูเก็ต,ภูเก็ต,เมืองภูเก็ต,,83,8301,0,5.0,285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Talay Surf School,"['การดำน้ำลึกและการดำน้ำตื้น', 'การเล่นกระดานโต้คลื่น การเล่นวินด์เซิร์ฟ และการเล่นไคท์เซิร์ฟ', 'เล่นแพดเดิลบอร์ดแบบยืน']",,7.989077,98.28929,[''],,https://th.tripadvisor.com/Attraction_Review-g1224250-d3638827-Reviews-Talay_Surf_School-Choeng_Thale_Thalang_District_Phuket.html,"{'จันทร์': '08:00-18:00', 'อังคาร': '08:00-18:00', 'พุธ': '08:00-18:00', 'พฤหัสบดี': '08:00-18:00', 'ศุกร์': '08:00-18:00', 'เสาร์': '08:00-18:00', 'อาทิตย์': '08:00-18:00'}",X7QQ+JPM ตำบลเชิงทะเล อำเภอถลาง ภูเก็ต,ภูเก็ต,ถลาง,,83,8303,0,5.0,154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
โน กราวิตี้ ไดว์ เซนเตอร์,['การดำน้ำลึกและการดำน้ำตื้น'],,7.823232,98.33916,[''],,https://th.tripadvisor.com/Attraction_Review-g1389361-d4052430-Reviews-No_Gravity_Dive_Center-Chalong_Phuket_Town_Phuket.html,"{'จันทร์': '08:00-19:00', 'อังคาร': '08:00-19:00', 'พุธ': '08:00-19:00', 'พฤหัสบดี': '08:00-19:00', 'ศุกร์': '08:00-19:00', 'เสาร์': '08:00-19:00', 'อาทิตย์': '08:00-19:00'}",R8FQ+7MV ตำบล ฉลอง อำเภอเมืองภูเก็ต ภูเก็ต,ภูเก็ต,เมืองภูเก็ต,,83,8301,0,5.0,510,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ซีฟัน ไดเวอร์ เดย์ทริปส์,['การดำน้ำลึกและการดำน้ำตื้น'],,7.805619,98.299835,[''],,https://th.tripadvisor.com/Attraction_Review-g1210687-d2210467-Reviews-Sea_Fun_Divers_Day_Trips-Kata_Beach_Karon_Phuket.html,"{'จันทร์': '09:00-18:00', 'อังคาร': '09:00-18:00', 'พุธ': '09:00-18:00', 'พฤหัสบดี': '09:00-18:00', 'ศุกร์': '09:00-18:00', 'เสาร์': '09:00-18:00', 'อาทิตย์': '09:00-18:00'}",R74X+6WW ตำบล กะรน อำเภอเมืองภูเก็ต ภูเก็ต,ภูเก็ต,เมืองภูเก็ต,,83,8301,0,5.0,378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
อเมริกัน ไดฟ์เวอร์ ภูเก็ต,['การดำน้ำลึกและการดำน้ำตื้น'],,7.829103,98.295586,[''],,https://th.tripadvisor.com/Attraction_Review-g10804710-d4048731-Reviews-American_Divers_Phuket-Karon_Beach_Karon_Phuket.html,"{'จันทร์': '09:00-23:00', 'อังคาร': '09:00-23:00', 'พุธ': '09:00-23:00', 'พฤหัสบดี': '09:00-23:00', 'ศุกร์': '09:00-23:00', 'เสาร์': '09:00-23:00', 'อาทิตย์': '09:00-23:00'}",R7HW+J6W ตำบล กะรน อำเภอเมืองภูเก็ต ภูเก็ต,ภูเก็ต,เมืองภูเก็ต,,83,8301,0,5.0,221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ไคท์โซน ภูเก็ต,['การเล่นกระดานโต้คลื่น การเล่นวินด์เซิร์ฟ และการเล่นไคท์เซิร์ฟ'],,7.797941,98.336845,[''],,https://th.tripadvisor.com/Attraction_Review-g1389361-d3532456-Reviews-Kite_Zone_Phuket-Chalong_Phuket_Town_Phuket.html,{},Q8XP+5PH ตำบล ราไวย์ อำเภอเมืองภูเก็ต ภูเก็ต,ภูเก็ต,เมืองภูเก็ต,,83,8301,0,5.0,157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
บางเทาไดฟ์เซ็นเตอร์,['การดำน้ำลึกและการดำน้ำตื้น'],,7.983957,98.285736,[''],,https://th.tripadvisor.com/Attraction_Review-g1224250-d3350458-Reviews-Bangtao_Dive_Center-Choeng_Thale_Thalang_District_Phuket.html,{},X7MP+H7Q ตำบลเชิงทะเล อำเภอถลาง ภูเก็ต,ภูเก็ต,ถลาง,,83,8303,0,5.0,310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andaman Signature,"['การดำน้ำกับปลาฉลาม', 'การดำน้ำลึกและการดำน้ำตื้น', 'การท่องเที่ยวโดยเรือเร็ว', 'การพายเรือคายัคและการพายเรือแคนู', 'การเล่นกระดานโต้คลื่น การเล่นวินด์เซิร์ฟ และการเล่นไคท์เซิร์ฟ']",,7.8213,98.34086,[''],,https://th.tripadvisor.com/Attraction_Review-g293920-d23556303-Reviews-Andaman_Signature-Phuket.html,"{'จันทร์': '09:00-18:00', 'อังคาร': '09:00-18:00', 'พุธ': '09:00-18:00', 'พฤหัสบดี': '09:00-18:00', 'ศุกร์': '09:00-18:00', 'เสาร์': '09:00-18:00', 'อาทิตย์': '09:00-18:00'}",R8CR+G8H ตำบล ราไวย์ อำเภอเมืองภูเก็ต ภูเก็ต,ภูเก็ต,เมืองภูเก็ต,,83,8301,0,5.0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ไดว์ เอเซีย,['การดำน้ำลึกและการดำน้ำตื้น'],,7.827285,98.29641,[''],,https://th.tripadvisor.com/Attraction_Review-g1210687-d2695804-Reviews-Dive_Asia_SCUBA_and_Snorkeling_Day_Trips_and_PADI_Courses-Kata_Beach_Karon_Phuke.html,"{'จันทร์': '10:00-21:00', 'อังคาร': '10:00-21:00', 'พุธ': '10:00-21:00', 'พฤหัสบดี': '10:00-21:00', 'ศุกร์': '10:00-21:00', 'เสาร์': '10:00-21:00', 'อาทิตย์': '10:00-21:00'}",R7GW+WH7 ตำบล กะรน อำเภอเมืองภูเก็ต ภูเก็ต,ภูเก็ต,เมืองภูเก็ต,,83,8301,0,5.0,338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DivingAsia ru,['การดำน้ำลึกและการดำน้ำตื้น'],,7.832706,98.3045,[''],,https://th.tripadvisor.com/Attraction_Review-g1215780-d9718771-Reviews-DivingAsia_ru-Karon_Phuket.html,"{'จันทร์': '08:00-20:00', 'อังคาร': '08:00-20:00', 'พุธ': '08:00-20:00', 'พฤหัสบดี': '08:00-20:00', 'ศุกร์': '08:00-20:00', 'เสาร์': '08:00-20:00', 'อาทิตย์': '08:00-20:00'}",R8M3+3QQ ตำบล กะรน อำเภอเมืองภูเก็ต ภูเก็ต,ภูเก็ต,เมืองภูเก็ต,,83,8301,0,5.0,162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
สคูบา เควสท์ ไดฟ์ เซนเตอร์,['การดำน้ำลึกและการดำน้ำตื้น'],,7.949774,98.28009,[''],,https://th.tripadvisor.com/Attraction_Review-g1379324-d2174047-Reviews-Scuba_Quest_Dive_Center_Kamala-Kamala_Kathu_Phuket.html,{},W7XJ+W24 ตำบล กมลา อำเภอกะทู้ ภูเก็ต,ภูเก็ต,กะทู้,,83,8302,0,5.0,118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
อะเมซิ่ง ภูเก็ต แอดเวนเจอร์,['การดำน้ำลึกและการดำน้ำตื้น'],,7.784775,98.317635,[''],,https://th.tripadvisor.com/Attraction_Review-g297934-d2560039-Reviews-Amazing_Phuket_Adventures-Rawai_Phuket.html,"{'จันทร์': '10:00-19:00', 'อังคาร': '10:00-19:00', 'พุธ': '10:00-19:00', 'พฤหัสบดี': '10:00-19:00', 'ศุกร์': '10:00-19:00', 'เสาร์': '10:00-19:00', 'อาทิตย์': 'ปิด'}",Q8M9+W32 ตำบล ราไวย์ อำเภอเมืองภูเก็ต ภูเก็ต,ภูเก็ต,เมืองภูเก็ต,,83,8301,0,5.0,253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Diving Phuket Credo Diving,['การดำน้ำลึกและการดำน้ำตื้น'],,7.820882,98.344696,[''],,https://th.tripadvisor.com/Attraction_Review-g293920-d17780365-Reviews-Diving_Phuket_Credo_Diving-Phuket.html,"{'จันทร์': '09:00-21:00', 'อังคาร': '09:00-21:00', 'พุธ': '09:00-21:00', 'พฤหัสบดี': '09:00-21:00', 'ศุกร์': '09:00-21:00', 'เสาร์': '09:00-21:00', 'อาทิตย์': '09:00-21:00'}",R8CV+9V4 ตำบล ฉลอง อำเภอเมืองภูเก็ต ภูเก็ต,ภูเก็ต,เมืองภูเก็ต,,83,8301,0,5.0,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ป่าตอง ซิบไลน์ แอดเวนเจอร์,['สวนสนุกโหนสลิงและผจญภัยในอากาศ'],,7.90524,98.30182,[''],,https://th.tripadvisor.com/Attraction_Review-g297931-d4828011-Reviews-Patong_Zipline_Adventure-Kathu_Phuket.html,"{'จันทร์': '08:00-18:00', 'อังคาร': '08:00-18:00', 'พุธ': '08:00-18:00', 'พฤหัสบดี': '08:00-18:00', 'ศุกร์': '08:00-18:00', 'เสาร์': '08:00-18:00', 'อาทิตย์': '08:00-18:00'}",W842+3PW ตำบลป่าตอง อำเภอกะทู้ ภูเก็ต,ภูเก็ต,กะทู้,,83,8302,0,4.5,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sea Canoe Co. Ltd.,['การพายเรือคายัคและการพายเรือแคนู'],,8.196737,98.49116,[''],,https://th.tripadvisor.com/Attraction_Review-g293920-d2179853-Reviews-Sea_Canoe_Co_Ltd-Phuket.html,{},,,,,0,0,0,5.0,253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
รายา ไดเวอร์,['การดำน้ำลึกและการดำน้ำตื้น'],,7.821947,98.34109,[''],,https://th.tripadvisor.com/Attraction_Review-g293920-d3214122-Reviews-Raya_Divers-Phuket.html,"{'จันทร์': '10:00-20:00', 'อังคาร': '10:00-20:00', 'พุธ': '10:00-20:00', 'พฤหัสบดี': '10:00-20:00', 'ศุกร์': '10:00-20:00', 'เสาร์': '10:00-20:00', 'อาทิตย์': '10:00-20:00'}",R8CR+QCG ตำบล ฉลอง อำเภอเมืองภูเก็ต ภูเก็ต,ภูเก็ต,เมืองภูเก็ต,,83,8301,0,4.5,221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
