name,type,description,latitude,longitude,imgPath,phone,website,openingHour,address,province,district,subDistrict,province_code,district_code,sub_district_code,score,ratingCount,Tourism,Adventure,Meditation,Art,Cultural,Landscape,Nature,Historical,Cityscape,Beach,Mountain,Architecture,Temple,WalkingStreet,Market,Village,NationalPark,Diving,Snuggle,Waterfall,Island,Shopping,Camping,Fog,Cycling,Monument,Zoo,Waterpark,Hiking,Museum,Riverside,NightLife,Family,Kid,Landmark,Forest
Erawan Patong Seaview Zipline,['สวนสนุกโหนสลิงและผจญภัยในอากาศ'],,7.921136,98.29186,[''],,https://th.tripadvisor.com/Attraction_Review-g297930-d28003086-Reviews-Erawan_Patong_Seaview_Zipline-Patong_Kathu_Phuket.html,"{'จันทร์': '08:00-18:00', 'อังคาร': '08:00-18:00', 'พุธ': '08:00-18:00', 'พฤหัสบดี': '08:00-18:00', 'ศุกร์': '08:00-18:00', 'เสาร์': '08:00-18:00', 'อาทิตย์': '08:00-18:00'}",W7CR+FP5 ตำบลป่าตอง อำเภอกะทู้ ภูเก็ต,ภูเก็ต,กะทู้,,83,8302,0,5.0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ฮาร์ท แอนด์ โซล ไดเวอร์,['การดำน้ำลึกและการดำน้ำตื้น'],,8.003931,98.32008,[''],,https://th.tripadvisor.com/Attraction_Review-g1224250-d4007094-Reviews-Heart_Soul_Divers-Choeng_Thale_Thalang_District_Phuket.html,{},283C+H2G ตำบลเชิงทะเล อำเภอถลาง ภูเก็ต,ภูเก็ต,ถลาง,,83,8303,0,5.0,183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
นูดิไดว์,['การดำน้ำลึกและการดำน้ำตื้น'],,7.90011,98.310295,[''],,https://th.tripadvisor.com/Attraction_Review-g297930-d2524492-Reviews-Nudidive-Patong_Kathu_Phuket.html,{},W826+24V ตำบลป่าตอง อำเภอกะทู้ ภูเก็ต,ภูเก็ต,กะทู้,,83,8302,0,5.0,141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hobo-ya Similan,['การดำน้ำลึกและการดำน้ำตื้น'],,7.912981,98.34725,[''],,https://th.tripadvisor.com/Attraction_Review-g297931-d6556156-Reviews-Hobo_ya_Similan-Kathu_Phuket.html,"{'จันทร์': '09:00-18:00', 'อังคาร': '09:00-18:00', 'พุธ': '09:00-18:00', 'พฤหัสบดี': '09:00-18:00', 'ศุกร์': '09:00-18:00', 'เสาร์': '09:00-18:00', 'อาทิตย์': '09:00-18:00'}",W87W+5WR ตำบล กะทู้ อำเภอกะทู้ ภูเก็ต,ภูเก็ต,กะทู้,,83,8302,0,5.0,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
บับบา ไดวิ่ง ภูเก็ต,['การดำน้ำลึกและการดำน้ำตื้น'],,7.846278,98.35008,[''],,https://th.tripadvisor.com/Attraction_Review-g1389361-d4039681-Reviews-Bubba_Diving_Phuket-Chalong_Phuket_Town_Phuket.html,"{'จันทร์': '08:00-20:00', 'อังคาร': '08:00-20:00', 'พุธ': '08:00-20:00', 'พฤหัสบดี': '08:00-20:00', 'ศุกร์': '08:00-20:00', 'เสาร์': '08:00-20:00', 'อาทิตย์': '08:00-20:00'}",R9W2+G28 ตำบล ฉลอง อำเภอเมืองภูเก็ต ภูเก็ต,ภูเก็ต,เมืองภูเก็ต,,83,8301,0,5.0,409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dive center - Diver Stars,['การดำน้ำลึกและการดำน้ำตื้น'],,7.830032,98.33848,[''],,https://th.tripadvisor.com/Attraction_Review-g1389361-d15547337-Reviews-Dive_center_Diver_Stars-Chalong_Phuket_Town_Phuket.html,"{'จันทร์': '07:00-21:00', 'อังคาร': '07:00-21:00', 'พุธ': '07:00-21:00', 'พฤหัสบดี': '07:00-21:00', 'ศุกร์': '07:00-21:00', 'เสาร์': '07:00-21:00', 'อาทิตย์': '07:00-21:00'}",R8JQ+299 ตำบล ฉลอง อำเภอเมืองภูเก็ต ภูเก็ต,ภูเก็ต,เมืองภูเก็ต,,83,8301,0,5.0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Colona Liveaboard - Day Dives,['การดำน้ำลึกและการดำน้ำตื้น'],,7.82337,98.3448,[''],,https://th.tripadvisor.com/Attraction_Review-g1215781-d5562484-Reviews-Colona_Liveaboard_Day_Dives-Phuket_Town_Phuket.html,"{'จันทร์': '09:00-18:00', 'อังคาร': '09:00-18:00', 'พุธ': '09:00-18:00', 'พฤหัสบดี': '09:00-18:00', 'ศุกร์': '09:00-18:00', 'เสาร์': '09:00-18:00', 'อาทิตย์': '09:00-18:00'}",R8FV+8WV ตำบล ฉลอง อำเภอเมืองภูเก็ต ภูเก็ต,ภูเก็ต,เมืองภูเก็ต,,83,8301,0,5.0,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sirolodive Phuket,['การดำน้ำลึกและการดำน้ำตื้น'],,7.79376,98.33102,[''],,https://th.tripadvisor.com/Attraction_Review-g293920-d17805067-Reviews-Sirolodive_Phuket-Phuket.html,"{'จันทร์': '08:00-21:00', 'อังคาร': '08:00-21:00', 'พุธ': '08:00-21:00', 'พฤหัสบดี': '08:00-21:00', 'ศุกร์': '08:00-21:00', 'เสาร์': '08:00-21:00', 'อาทิตย์': '08:00-21:00'}",Q8VJ+GC2 ตำบล ราไวย์ อำเภอเมืองภูเก็ต ภูเก็ต,ภูเก็ต,เมืองภูเก็ต,,83,8301,0,5.0,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
สคูบานิคส์,['การดำน้ำลึกและการดำน้ำตื้น'],,7.798214,98.32791,[''],,https://th.tripadvisor.com/Attraction_Review-g297934-d1627703-Reviews-ScubaNicks-Rawai_Phuket.html,{},Q8XH+75M ตำบล ราไวย์ อำเภอเมืองภูเก็ต ภูเก็ต,ภูเก็ต,เมืองภูเก็ต,,83,8301,0,5.0,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sam Collection,['สตูดิโอวาดภาพและเครื่องปั้นดินเผา'],"Our goal is simply total satisfaction of customers.We carry international recognized materials and equipment to create original clothes completely fit on your size. You can be assured of the durability and longevity of every piece made. Whatever your occasion you are having, we are pleased to make your clothes for dress-up days.",7.894104,98.295715,"['https://dynamic-media-cdn.tripadvisor.com/media/photo-o/18/49/88/70/caption.jpg?w=500&h=-1&s=1', 'https://media-cdn.tripadvisor.com/media/attractions-splice-spp-400x400/07/b6/6c/32.jpg', 'https://media-cdn.tripadvisor.com/media/attractions-splice-spp-400x400/07/b6/6c/34.jpg', 'https://media-cdn.tripadvisor.com/media/attractions-splice-spp-400x400/07/b6/6c/48.jpg', 'https://media-cdn.tripadvisor.com/media/attractions-splice-spp-400x400/07/b6/6c/44.jpg', 'https://media-cdn.tripadvisor.com/media/attractions-splice-spp-400x400/07/b6/6c/46.jpg', 'https://media-cdn.tripadvisor.com/media/attractions-splice-spp-400x400/07/b6/6c/50.jpg', 'https://media-cdn.tripadvisor.com/media/attractions-splice-spp-400x400/07/b6/6c/5f.jpg', 'https://media-cdn.tripadvisor.com/media/attractions-splice-spp-400x400/07/b6/6c/60.jpg', 'https://media-cdn.tripadvisor.com/media/attractions-splice-spp-400x400/07/b6/6c/62.jpg', 'https://media-cdn.tripadvisor.com/media/attractions-splice-spp-400x400/07/b6/6c/6b.jpg', 'https://media-cdn.tripadvisor.com/media/attractions-splice-spp-400x400/07/b6/6c/6f.jpg', 'https://media-cdn.tripadvisor.com/media/attractions-splice-spp-400x400/07/b6/6c/70.jpg', 'https://media-cdn.tripadvisor.com/media/attractions-splice-spp-400x400/07/b6/6c/71.jpg', 'https://media-cdn.tripadvisor.com/media/attractions-splice-spp-400x400/07/b6/6c/75.jpg']",,https://th.tripadvisor.com/Attraction_Review-g297930-d17741779-Reviews-Sam_Collection-Patong_Kathu_Phuket.html,{},V7VW+J7W ตำบลป่าตอง อำเภอกะทู้ ภูเก็ต,ภูเก็ต,กะทู้,,83,8302,0,5.0,154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
