name,type,description,latitude,longitude,imgPath,phone,website,openingHour,address,province,district,subDistrict,province_code,district_code,sub_district_code,score,ratingCount,Tourism,Adventure,Meditation,Art,Cultural,Landscape,Nature,Historical,Cityscape,Beach,Mountain,Architecture,Temple,WalkingStreet,Market,Village,NationalPark,Diving,Snuggle,Waterfall,Island,Shopping,Camping,Fog,Cycling,Monument,Zoo,Waterpark,Hiking,Museum,Riverside,NightLife,Family,Kid,Landmark,Forest
Chureang Travel,['เรือข้ามฟาก'],,7.8748,98.39662,"['https://dynamic-media-cdn.tripadvisor.com/media/photo-o/14/b7/5d/de/auf-dem-deck.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/26/2e/35/9e/chureang-travel.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/14/b7/5d/bb/sitzplatze.jpg?w=500&h=-1&s=1']",,https://th.tripadvisor.com/Attraction_Review-g2315818-d13137523-Reviews-Chureang_Travel-Talat_Yai_Phuket_Town_Phuket.html,{},V9FW+WJ9 เทศบาลนครภูเก็ต อำเภอเมืองภูเก็ต ภูเก็ต,ภูเก็ต,เมืองภูเก็ต,,83,8301,0,2.0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Superton Patong Beach Parasailing,['การเล่นร่อนร่มและร่อนร่มด้วยเรือ'],,7.89311,98.3017,[''],,https://th.tripadvisor.com/Attraction_Review-g297930-d19086015-Reviews-Superton_Patong_Beach_Parasailing-Patong_Kathu_Phuket.html,{},V8V2+6MW ตำบลป่าตอง อำเภอกะทู้ ภูเก็ต,ภูเก็ต,กะทู้,,83,8302,0,2.0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
เอฟ เอ็กซ์ ฟิตเนส,['ฟิตเนส/สโมสรสุขภาพและห้องออกกำลังกาย'],,7.780633,98.32913,[''],,https://th.tripadvisor.com/Attraction_Review-g1389361-d11550247-Reviews-FX_Fitness-Chalong_Phuket_Town_Phuket.html,{},"37/10-11 หมู่ 2, ฉลอง, เมืองภูเก็ต, จังหวัดภูเก็ต 83100 ไทย",ภูเก็ต,เมืองภูเก็ต,,83,8301,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Coral Premium Departure Lounge,['ห้องรับรองของสนามบิน'],,8.108311,98.30859,"['https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2a/a8/d8/f1/juice-options-toilet.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2a/a8/d8/f2/juice-options-toilet.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2a/a8/d8/f1/juice-options-toilet.jpg?w=500&h=-1&s=1']",,https://th.tripadvisor.com/Attraction_Review-g1223683-d25344975-Reviews-Coral_Premium_Departure_Lounge-Mai_Khao_Thalang_District_Phuket.html,{},4855+8CG ตำบล ไม้ขาว อำเภอถลาง ภูเก็ต,ภูเก็ต,ถลาง,,83,8303,0,1.5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chicago Club Patong,['บาร์/คลับ'],,7.90444,98.28636,[''],,https://th.tripadvisor.com/Attraction_Review-g297930-d27448258-Reviews-Chicago_Club_Patong-Patong_Kathu_Phuket.html,{},W73P+QGH ตำบลป่าตอง อำเภอกะทู้ ภูเก็ต,ภูเก็ต,กะทู้,,83,8302,0,1.0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oscar Sports Bar,['บาร์/คลับ'],,7.893244,98.298355,"['https://dynamic-media-cdn.tripadvisor.com/media/photo-o/10/31/3a/47/oscar-sports-bar.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2c/30/88/29/caption.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2a/6b/df/9b/just-posting-a-picture.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/28/18/ed/d9/oscar-sports-bar.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/28/18/ed/85/oscar-sports-bar.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/28/da/bc/06/caption.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/28/da/bc/05/caption.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/28/da/bc/04/caption.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/28/da/bc/03/caption.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/28/da/bc/02/caption.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/28/4b/17/5f/caption.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/28/4b/17/5e/caption.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/28/4b/17/5d/caption.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/26/cd/0d/cc/oscar-sports-bar.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/26/cd/0d/c8/oscar-sports-bar.jpg?w=500&h=-1&s=1']",,https://th.tripadvisor.com/Attraction_Review-g1215781-d12697351-Reviews-Oscar_Sports_Bar-Phuket_Town_Phuket.html,{},V7VX+78X ตำบลป่าตอง อำเภอกะทู้ ภูเก็ต,ภูเก็ต,กะทู้,,83,8302,0,2.0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
วันเดอร์แลนด์ โบ้ท ปาร์ตี้,"['คลับเต้นรำ/ดิสโก้', 'บาร์/คลับ']",,7.892725,98.29358,"['https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0a/33/97/8f/unlimited-drinks.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0a/33/97/8b/food-on-board.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0a/33/96/db/wonderland-boat-party.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0a/33/97/93/biggest-boat-party-in.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0a/33/97/92/when-the-sun-goes-down.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0a/33/97/90/beautiful-party-people.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0a/33/97/8f/unlimited-drinks.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0a/33/97/8e/food-on-board.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0a/33/97/8d/sunset-boat-party.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0a/33/97/8c/swimming-and-jumping.jpg?w=500&h=-1&s=1']",,https://th.tripadvisor.com/Attraction_Review-g297930-d8865489-Reviews-Wonderland_Boat_Party-Patong_Kathu_Phuket.html,{},V7VV+3CP ตำบลป่าตอง อำเภอกะทู้ ภูเก็ต,ภูเก็ต,กะทู้,,83,8302,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L'OM BAR,"['คลับเต้นรำ/ดิสโก้', 'บาร์/คลับ']",,7.78117,98.32928,[''],,https://th.tripadvisor.com/Attraction_Review-g297934-d7715202-Reviews-L_OM_BAR-Rawai_Phuket.html,{},"Viset Road, ราไวย์, จังหวัดภูเก็ต 83130 ไทย",ภูเก็ต,เมืองภูเก็ต,,83,8301,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Amulet Market,['ตลาดนัด/ถนนคนเดิน'],,7.883312,98.38764,[''],,https://th.tripadvisor.com/Attraction_Review-g1215781-d15194223-Reviews-Amulet_Market-Phuket_Town_Phuket.html,{},"Ratsada Rd, Tambon Talat Nuea, Amphoe Mueang Phuket, Chang Wat, เมืองภูเก็ต, จังหวัดภูเก็ต 83000 ไทย",ภูเก็ต,เมืองภูเก็ต,,83,8301,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
หาดท่าหลา,['ชายหาด'],,8.02248,98.40677,[''],,https://th.tripadvisor.com/Attraction_Review-g2315811-d15421006-Reviews-Thala_Beach-Pa_Khlok_Thalang_District_Phuket.html,{},"ซอย ท่าหลา, ป่าคลอก , จังหวัดภูเก็ต 83110 ไทย",ภูเก็ต,ถลาง,,83,8303,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
