name,sub_name,wongnai_url,restaurantType,facility,description,imgPath,phone,website,openingHour,priceRange,latitude,longitude,address,province,district,subDistrict,province_code,district_code,sub_district_code,score,ratingCount
8/2 House Cafe’,ซ.คุ้มพล,https://www.wongnai.com/restaurants/2497634Pa-8-2-house-cafe-%E0%B8%8B-%E0%B8%84%E0%B8%B8%E0%B9%89%E0%B8%A1%E0%B8%9E%E0%B8%A5?_st=cD0wO2I9MjQ5NzYzNDthZD1mYWxzZTt0PTE3Mjc0Mzg0NzA4NTk7cmk9MVg3YjZiekFsNk9menhJODV0Y0dvTVZuWHFkdVhaO2k9MVg3MFp2a2xEZ2t2U2RBMmE5N09HRVowaXRsM3Z5O3dyZWY9c3I7,"['ร้านกาแฟ/ชา', 'คาเฟ่']",[],,[''],[],{},{},,0,0,,,,,0,0,0,0,0
ข้าวไข่เจียว/ลูกชิ้นทอด/ข้าวผัด/ยำ by ร้านรชา,,https://www.wongnai.com/restaurants/2708963ke-%E0%B8%82%E0%B9%89%E0%B8%B2%E0%B8%A7%E0%B9%84%E0%B8%82%E0%B9%88%E0%B9%80%E0%B8%88%E0%B8%B5%E0%B8%A2%E0%B8%A7-%E0%B8%A5%E0%B8%B9%E0%B8%81%E0%B8%8A%E0%B8%B4%E0%B9%89%E0%B8%99%E0%B8%97%E0%B8%AD%E0%B8%94-%E0%B8%82%E0%B9%89%E0%B8%B2%E0%B8%A7%E0%B8%9C%E0%B8%B1%E0%B8%94-%E0%B8%A2%E0%B8%B3-by-%E0%B8%A3%E0%B9%89%E0%B8%B2%E0%B8%99%E0%B8%A3%E0%B8%8A%E0%B8%B2?_st=cD0xO2I9MjcwODk2MzthZD1mYWxzZTt0PTE3Mjc0Mzg0NzA4NzI7cmk9MVg3YjZiekFqaEdYWWppaGVYUlVzd21FYTlGN25WO2k9MVg3MFp2a2xEZ2t2U2RBMmE5N09HRVowaXRsM3Z5O3dyZWY9c3I7,['สตรีทฟู้ด/รถเข็น'],[],,[''],[],{},{},,0,0,,,,,0,0,0,0,0
🔥🍝คอมาม่า🍝🔥,,https://www.wongnai.com/restaurants/2854915Ff-%E0%B8%84%E0%B8%AD%E0%B8%A1%E0%B8%B2%E0%B8%A1%E0%B9%88%E0%B8%B2?_st=cD0yO2I9Mjg1NDkxNTthZD1mYWxzZTt0PTE3Mjc0Mzg0NzA4NzI7cmk9MVg3YjZiekFpdndSY2lkNGd4SW54RndPTkMzUFFFO2k9MVg3MFp2a2xEZ2t2U2RBMmE5N09HRVowaXRsM3Z5O3dyZWY9c3I7,['อาหารเกาหลี'],[],,[''],[],{},{},,0,0,,,,,0,0,0,0,0
ยำนัวครกใหญ่90 กะ มันฝรั่งทอด9รส By เมียฝอ,,https://www.wongnai.com/restaurants/2830914Qf-%E0%B8%A2%E0%B8%B3%E0%B8%99%E0%B8%B1%E0%B8%A7%E0%B8%84%E0%B8%A3%E0%B8%81%E0%B9%83%E0%B8%AB%E0%B8%8D%E0%B9%8890-%E0%B8%81%E0%B8%B0-%E0%B8%A1%E0%B8%B1%E0%B8%99%E0%B8%9D%E0%B8%A3%E0%B8%B1%E0%B9%88%E0%B8%87%E0%B8%97%E0%B8%AD%E0%B8%949%E0%B8%A3%E0%B8%AA-by-%E0%B9%80%E0%B8%A1%E0%B8%B5%E0%B8%A2%E0%B8%9D%E0%B8%AD?_st=cD0zO2I9MjgzMDkxNDthZD1mYWxzZTt0PTE3Mjc0Mzg0NzA4NzM7cmk9MVg3YjZiekFrRFkyaXdHRzAzYlJjVk4xYklHZUhJO2k9MVg3MFp2a2xEZ2t2U2RBMmE5N09HRVowaXRsM3Z5O3dyZWY9c3I7,['อาหารอีสาน/ร้านส้มตำ'],[],,[''],[],{},{},,0,0,,,,,0,0,0,0,0
รสโปรด(RODPORD),,https://www.wongnai.com/restaurants/2836466MT-%E0%B8%A3%E0%B8%AA%E0%B9%82%E0%B8%9B%E0%B8%A3%E0%B8%94-rodpord?_st=cD00O2I9MjgzNjQ2NjthZD1mYWxzZTt0PTE3Mjc0Mzg0NzA4NzM7cmk9MVg3YjZiekFuR1BUWk9hNEZ1Um1yZmd5Y01oS0FoO2k9MVg3MFp2a2xEZ2t2U2RBMmE5N09HRVowaXRsM3Z5O3dyZWY9c3I7,['สเต๊ก'],[],,[''],[],{},{},,0,0,,,,,0,0,0,0,0
Safe Zone Café,,https://www.wongnai.com/restaurants/2072097UD-safe-zone-caf%C3%A9?_st=cD01O2I9MjA3MjA5NzthZD1mYWxzZTt0PTE3Mjc0Mzg0NzA4NzQ7cmk9MVg3YjZiekFoSjNzZEY2WFRCN2VhZ2lVeDFOYzJoO2k9MVg3MFp2a2xEZ2t2U2RBMmE5N09HRVowaXRsM3Z5O3dyZWY9c3I7,"['คาเฟ่', 'ชานมไข่มุก', 'ร้านกาแฟ/ชา']",[],,[''],[],{},{},,0,0,,,,,0,0,0,0,0
๑๙๘๘ คาเฟ่,1988 คาเฟ่,https://www.wongnai.com/restaurants/2739563tf-%E0%B9%91%E0%B9%99%E0%B9%98%E0%B9%98-%E0%B8%84%E0%B8%B2%E0%B9%80%E0%B8%9F%E0%B9%88-1988-%E0%B8%84%E0%B8%B2%E0%B9%80%E0%B8%9F%E0%B9%88?_st=cD02O2I9MjczOTU2MzthZD1mYWxzZTt0PTE3Mjc0Mzg0NzA4NzQ7cmk9MVg3YjZiekFpZlQzaWM2RjlOSHNtWm1RdlU1Um52O2k9MVg3MFp2a2xEZ2t2U2RBMmE5N09HRVowaXRsM3Z5O3dyZWY9c3I7,"['ร้านกาแฟ/ชา', 'อาหารเช้า', 'เครื่องดื่ม/น้ำผลไม้']",[],,[''],[],{},{},,0,0,,,,,0,0,0,0,0
ครัวน้องข้าวหอม โฮมเมด,,https://www.wongnai.com/restaurants/2840127Ho-%E0%B8%84%E0%B8%A3%E0%B8%B1%E0%B8%A7%E0%B8%99%E0%B9%89%E0%B8%AD%E0%B8%87%E0%B8%82%E0%B9%89%E0%B8%B2%E0%B8%A7%E0%B8%AB%E0%B8%AD%E0%B8%A1-%E0%B9%82%E0%B8%AE%E0%B8%A1%E0%B9%80%E0%B8%A1%E0%B8%94?_st=cD03O2I9Mjg0MDEyNzthZD1mYWxzZTt0PTE3Mjc0Mzg0NzA4NzQ7cmk9MVg3YjZiekFuSk55QlRCcVRvczdCQ0lWTmJJSWhMO2k9MVg3MFp2a2xEZ2t2U2RBMmE5N09HRVowaXRsM3Z5O3dyZWY9c3I7,['อาหารตามสั่ง'],[],,[''],[],{},{},,0,0,,,,,0,0,0,0,0
Jice de cafe,-,https://www.wongnai.com/restaurants/2811750RN-jice-de-cafe?_st=cD04O2I9MjgxMTc1MDthZD1mYWxzZTt0PTE3Mjc0Mzg0NzA4NzQ7cmk9MVg3YjZiekFpYnJKOWdGVHBPU2RmOEhOczhFR3dOO2k9MVg3MFp2a2xEZ2t2U2RBMmE5N09HRVowaXRsM3Z5O3dyZWY9c3I7,['คาเฟ่'],[],,[''],[],{},{},,0,0,,,,,0,0,0,0,0
เมี่ยงติดมันส์ 🦑🦞🥬เมี่ยงหมูสามชั้น เมี่ยงทะเล🦑🦞🥬456,,https://www.wongnai.com/restaurants/2429938ZD-%E0%B9%80%E0%B8%A1%E0%B8%B5%E0%B9%88%E0%B8%A2%E0%B8%87%E0%B8%95%E0%B8%B4%E0%B8%94%E0%B8%A1%E0%B8%B1%E0%B8%99%E0%B8%AA%E0%B9%8C-%E0%B9%80%E0%B8%A1%E0%B8%B5%E0%B9%88%E0%B8%A2%E0%B8%87%E0%B8%AB%E0%B8%A1%E0%B8%B9%E0%B8%AA%E0%B8%B2%E0%B8%A1%E0%B8%8A%E0%B8%B1%E0%B9%89%E0%B8%99-%E0%B9%80%E0%B8%A1%E0%B8%B5%E0%B9%88%E0%B8%A2%E0%B8%87%E0%B8%97%E0%B8%B0%E0%B9%80%E0%B8%A5-456?_st=cD05O2I9MjQyOTkzODthZD1mYWxzZTt0PTE3Mjc0Mzg0NzA4NzU7cmk9MVg3YjZiekFtUWhRaG5SQUVHWUV3OFlKNUdoTGlIO2k9MVg3MFp2a2xEZ2t2U2RBMmE5N09HRVowaXRsM3Z5O3dyZWY9c3I7,['อาหารตามสั่ง'],[],,[''],[],{},{},,0,0,,,,,0,0,0,0,0
