,Unnamed: 0,name,type,description,latitude,longitude,imgPath,phone,website,openingHour,address,province,district,subDistrict,province_code,district_code,sub_district_code,score,ratingCount,Tourism,Adventure,Meditation,Art,Cultural,Landscape,Nature,Historical,Cityscape,Beach,Mountain,Architecture,Temple,WalkingStreet,Market,Village,NationalPark,Diving,Snuggle,Waterfall,Island,Shopping,Camping,Fog,Cycling,Monument,Zoo,Waterpark,Hiking,Museum,Riverside,NightLife,Family,Kid,Landmark,Forest
10,10,ไคท์โซน ภูเก็ต,['การเล่นกระดานโต้คลื่น การเล่นวินด์เซิร์ฟ และการเล่นไคท์เซิร์ฟ'],,7.797941,98.336845,"['https://dynamic-media-cdn.tripadvisor.com/media/photo-o/05/6b/cc/9d/kite-zone-phuket.jpg?w=700&h=500&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/05/6b/d1/1f/kite-zone-phuket.jpg?w=600&h=400&s=1']",,https://th.tripadvisor.com/Attraction_Review-g1389361-d3532456-Reviews-Kite_Zone_Phuket-Chalong_Phuket_Town_Phuket.html,{},Q8XP+5PH ตำบล ราไวย์ อำเภอเมืองภูเก็ต ภูเก็ต,ภูเก็ต,เมืองภูเก็ต,,83,8301,0,5.0,157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,11,บางเทาไดฟ์เซ็นเตอร์,['การดำน้ำลึกและการดำน้ำตื้น'],,7.983957,98.285736,['https://dynamic-media-cdn.tripadvisor.com/media/photo-s/02/ae/d1/f7/filename-img-2202-jpg.jpg?w=400&h=300&s=1'],,https://th.tripadvisor.com/Attraction_Review-g1224250-d3350458-Reviews-Bangtao_Dive_Center-Choeng_Thale_Thalang_District_Phuket.html,{},X7MP+H7Q ตำบลเชิงทะเล อำเภอถลาง ภูเก็ต,ภูเก็ต,ถลาง,,83,8303,0,5.0,310,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,12,Andaman Signature,"['การดำน้ำกับปลาฉลาม', 'การดำน้ำลึกและการดำน้ำตื้น', 'การท่องเที่ยวโดยเรือเร็ว', 'การพายเรือคายัคและการพายเรือแคนู', 'การเล่นกระดานโต้คลื่น การเล่นวินด์เซิร์ฟ และการเล่นไคท์เซิร์ฟ']",,7.8213,98.34086,"['https://media-cdn.tripadvisor.com/media/attractions-splice-spp-720x480/0b/f3/35/76.jpg', 'https://media-cdn.tripadvisor.com/media/attractions-splice-spp-720x480/0b/f3/35/75.jpg', 'https://media-cdn.tripadvisor.com/media/attractions-splice-spp-720x480/0b/f3/35/79.jpg']",,https://th.tripadvisor.com/Attraction_Review-g293920-d23556303-Reviews-Andaman_Signature-Phuket.html,"{'จันทร์': '09:00-18:00', 'อังคาร': '09:00-18:00', 'พุธ': '09:00-18:00', 'พฤหัสบดี': '09:00-18:00', 'ศุกร์': '09:00-18:00', 'เสาร์': '09:00-18:00', 'อาทิตย์': '09:00-18:00'}",R8CR+G8H ตำบล ราไวย์ อำเภอเมืองภูเก็ต ภูเก็ต,ภูเก็ต,เมืองภูเก็ต,,83,8301,0,5.0,36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,13,ไดว์ เอเซีย,['การดำน้ำลึกและการดำน้ำตื้น'],,7.827285,98.29641,"['https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2c/69/7c/bd/caption.jpg?w=1200&h=900&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2c/69/7c/bc/caption.jpg?w=1200&h=-1&s=1']",,https://th.tripadvisor.com/Attraction_Review-g1210687-d2695804-Reviews-Dive_Asia_SCUBA_and_Snorkeling_Day_Trips_and_PADI_Courses-Kata_Beach_Karon_Phuke.html,"{'จันทร์': '10:00-21:00', 'อังคาร': '10:00-21:00', 'พุธ': '10:00-21:00', 'พฤหัสบดี': '10:00-21:00', 'ศุกร์': '10:00-21:00', 'เสาร์': '10:00-21:00', 'อาทิตย์': '10:00-21:00'}",R7GW+WH7 ตำบล กะรน อำเภอเมืองภูเก็ต ภูเก็ต,ภูเก็ต,เมืองภูเก็ต,,83,8301,0,5.0,338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,14,DivingAsia ru,['การดำน้ำลึกและการดำน้ำตื้น'],,7.832706,98.3045,"['https://dynamic-media-cdn.tripadvisor.com/media/photo-o/27/36/71/27/caption.jpg?w=1200&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2a/69/5a/6a/diving-wreck.jpg?w=1200&h=900&s=1']",,https://th.tripadvisor.com/Attraction_Review-g1215780-d9718771-Reviews-DivingAsia_ru-Karon_Phuket.html,"{'จันทร์': '08:00-20:00', 'อังคาร': '08:00-20:00', 'พุธ': '08:00-20:00', 'พฤหัสบดี': '08:00-20:00', 'ศุกร์': '08:00-20:00', 'เสาร์': '08:00-20:00', 'อาทิตย์': '08:00-20:00'}",R8M3+3QQ ตำบล กะรน อำเภอเมืองภูเก็ต ภูเก็ต,ภูเก็ต,เมืองภูเก็ต,,83,8301,0,5.0,162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,15,สคูบา เควสท์ ไดฟ์ เซนเตอร์,['การดำน้ำลึกและการดำน้ำตื้น'],,7.949774,98.28009,"['https://dynamic-media-cdn.tripadvisor.com/media/photo-o/29/96/2b/ec/richelieu-rock-2022.jpg?w=1200&h=900&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/ac/08/ff/girlie-trip.jpg?w=1200&h=900&s=1']",,https://th.tripadvisor.com/Attraction_Review-g1379324-d2174047-Reviews-Scuba_Quest_Dive_Center_Kamala-Kamala_Kathu_Phuket.html,{},W7XJ+W24 ตำบล กมลา อำเภอกะทู้ ภูเก็ต,ภูเก็ต,กะทู้,,83,8302,0,5.0,118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,16,อะเมซิ่ง ภูเก็ต แอดเวนเจอร์,['การดำน้ำลึกและการดำน้ำตื้น'],,7.784775,98.317635,"['https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0f/6f/75/97/front-office-in-rawai.jpg?w=1200&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0f/6f/75/20/johann-and-jinny-the.jpg?w=1200&h=900&s=1']",,https://th.tripadvisor.com/Attraction_Review-g297934-d2560039-Reviews-Amazing_Phuket_Adventures-Rawai_Phuket.html,"{'จันทร์': '10:00-19:00', 'อังคาร': '10:00-19:00', 'พุธ': '10:00-19:00', 'พฤหัสบดี': '10:00-19:00', 'ศุกร์': '10:00-19:00', 'เสาร์': '10:00-19:00', 'อาทิตย์': 'ปิด'}",Q8M9+W32 ตำบล ราไวย์ อำเภอเมืองภูเก็ต ภูเก็ต,ภูเก็ต,เมืองภูเก็ต,,83,8301,0,5.0,253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,17,Diving Phuket Credo Diving,['การดำน้ำลึกและการดำน้ำตื้น'],,7.820882,98.344696,"['https://dynamic-media-cdn.tripadvisor.com/media/photo-o/18/7b/3f/cb/diving.jpg?w=1200&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2a/69/38/9f/caption.jpg?w=1200&h=900&s=1']",,https://th.tripadvisor.com/Attraction_Review-g293920-d17780365-Reviews-Diving_Phuket_Credo_Diving-Phuket.html,"{'จันทร์': '09:00-21:00', 'อังคาร': '09:00-21:00', 'พุธ': '09:00-21:00', 'พฤหัสบดี': '09:00-21:00', 'ศุกร์': '09:00-21:00', 'เสาร์': '09:00-21:00', 'อาทิตย์': '09:00-21:00'}",R8CV+9V4 ตำบล ฉลอง อำเภอเมืองภูเก็ต ภูเก็ต,ภูเก็ต,เมืองภูเก็ต,,83,8301,0,5.0,94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,18,ป่าตอง ซิบไลน์ แอดเวนเจอร์,['สวนสนุกโหนสลิงและผจญภัยในอากาศ'],,7.90524,98.30182,"['https://dynamic-media-cdn.tripadvisor.com/media/photo-o/04/81/34/5b/patong-zipline-adveture.jpg?w=1000&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/18/ba/4e/60/20190803-104305-0-largejpg.jpg?w=800&h=600&s=1']",,https://th.tripadvisor.com/Attraction_Review-g297931-d4828011-Reviews-Patong_Zipline_Adventure-Kathu_Phuket.html,"{'จันทร์': '08:00-18:00', 'อังคาร': '08:00-18:00', 'พุธ': '08:00-18:00', 'พฤหัสบดี': '08:00-18:00', 'ศุกร์': '08:00-18:00', 'เสาร์': '08:00-18:00', 'อาทิตย์': '08:00-18:00'}",W842+3PW ตำบลป่าตอง อำเภอกะทู้ ภูเก็ต,ภูเก็ต,กะทู้,,83,8302,0,4.5,124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,19,Sea Canoe Co. Ltd.,['การพายเรือคายัคและการพายเรือแคนู'],,8.196737,98.49116,"['https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/27/d9/1f/capturing-the-fun-with.jpg?w=1200&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/27/d8/69/private-spot-on-a-beach.jpg?w=1200&h=-1&s=1']",,https://th.tripadvisor.com/Attraction_Review-g293920-d2179853-Reviews-Sea_Canoe_Co_Ltd-Phuket.html,{},,,,,0,0,0,5.0,253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
