name,description,priceRange,latitude,longitude,imgPath,phone,website,openingHour,facility,type,address,province,district,subDistrict,province_code,district_code,sub_district_code,score,ratingCount
,,,7.884244,98.38751,"['https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0c/cc/72/da/36.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1c/4d/31/8d/castella-cake.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0c/cc/72/df/36.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0c/cc/72/de/36.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0c/cc/72/db/36.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0c/cc/72/dd/36.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1c/4d/31/61/castella-cake.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/10/b2/f8/e9/20170918-140216-largejpg.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/08/86/0d/eggs-toast-and-bacon.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/12/5b/a8/70/photo0jpg.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/14/71/ca/d6/photo1jpg.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/15/e4/c0/cc/photo0jpg.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/15/4b/3e/9f/photo0jpg.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/9b/b5/ec/photo4jpg.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/17/58/e8/36-cafe.jpg?w=500&h=-1&s=1']",+66 76 216 991,https://th.tripadvisor.com/Restaurant_Review-g2315818-d10441441-Reviews-36_Cafe-Talat_Yai_Phuket_Town_Phuket.html,{},"['Wifi ฟรี', 'การจอง', 'ซื้อกลับบ้าน', 'ที่นั่ง', 'ที่นั่งกลางแจ้ง', 'บริการเครื่องดื่มแอลกอฮอล์', 'บริการเสิร์ฟถึงโต๊ะ', 'รับเฉพาะเงินสด']","['นานาชาติ', 'ร้านกาแฟ', 'เอเชีย', 'ไทย']","36 ถ.เยาวราช, ตลาดใหญ่, เมืองภูเก็ต, จังหวัดภูเก็ต 83000 ไทย",ภูเก็ต,เมืองภูเก็ต,,83,8301,0,5,130
เดอะ เต๊นท์,,,7.885026,98.390854,[''],+66 76 217 775,https://th.tripadvisor.com/Restaurant_Review-g1215781-d11810229-Reviews-The_Tent-Phuket_Town_Phuket.html,{},"['การจอง', 'ที่นั่ง', 'บริการเสิร์ฟถึงโต๊ะ', 'สะดวกสำหรับผู้ใช้รถเข็น']","['นานาชาติ', 'ร้านกาแฟ', 'เอเชีย']","ถ.เทพกษัตรี่ Thalang-TaewNum intersection, เมืองภูเก็ต, จังหวัดภูเก็ต 83000 ไทย",ภูเก็ต,เมืองภูเก็ต,,83,8301,0,4.5,93
Ao Chalong Yacht Club Restaurant,,,7.827207,98.34819,"['https://dynamic-media-cdn.tripadvisor.com/media/photo-o/06/3a/f0/bb/ao-chalong-yacht-clubrestauran.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0b/45/4b/b2/our-version-of-sunday.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/11/3f/99/cb/great-specials.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/08/7a/fe/db/ao-chalong-yacht-club.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/12/56/f5/8b/beautiful-thai-food.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/12/5b/56/c5/beautiful-view.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0b/af/08/9b/eat-and-enjoy.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0b/ae/e9/e9/open-for-breakfast.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/09/56/a9/11/ao-chalong-yacht-club.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0a/7c/1e/0e/this-weekends-special.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0f/38/68/2a/great-specials.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0f/36/64/98/thai-seafood-salad.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/12/56/f6/a8/great-specials.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/06/4b/c1/1d/ao-chalong-yacht-club.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/09/56/80/ae/ao-chalong-yacht-club.jpg?w=500&h=-1&s=1']",+66 84 060 4070,https://th.tripadvisor.com/Restaurant_Review-g1389361-d6883187-Reviews-Ao_Chalong_Yacht_Club_Restaurant-Chalong_Phuket_Town_Phuket.html,{},"['Wifi ฟรี', 'การจอง', 'ซื้อกลับบ้าน', 'ดนตรีสด', 'ที่จอดรถริมทางฟรี', 'ที่นั่ง', 'ที่นั่งกลางแจ้ง', 'บริการเครื่องดื่มแอลกอฮอล์', 'บริการเสิร์ฟถึงโต๊ะ', 'บาร์เต็มรูปแบบ', 'มีที่จอดรถ', 'รับเฉพาะเงินสด', 'สะดวกสำหรับผู้ใช้รถเข็น', 'โทรทัศน์', 'ไวน์และเบียร์']","['นานาชาติ', 'บาร์', 'พิซซ่า', 'ยุโรป', 'เอเชีย', 'ไทย']","52/25 ซอยพรฉลอง หมู่ 9ม ถนนช่อฟ้าตะวันออก, ฉลอง, เมืองภูเก็ต, จังหวัดภูเก็ต 83130 ไทย",ภูเก็ต,เมืองภูเก็ต,,83,8301,0,4.5,219
B Cat Cafe and Restaurant,,,7.885402,98.39068,"['https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0f/e2/1f/e1/photo4jpg.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0e/a4/53/0b/20170312-095941-largejpg.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/11/5e/73/d5/photo2jpg.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0f/aa/99/36/lazy-cats.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0c/10/92/f8/photo6jpg.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0f/af/0e/8f/coffee.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/d2/f1/b5/caption.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/06/9f/c5/b9/b-cat-cafe-and-restaurant.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0a/f5/1b/e3/b-cat-cafe-and-restaurant.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/09/ec/14/b9/photo0jpg.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/19/66/cf/66/photo1jpg.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/c7/b7/6a/photo0jpg.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0c/10/92/fc/photo8jpg.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0f/16/e5/0a/photo1jpg.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/15/26/76/38/photo1jpg.jpg?w=500&h=-1&s=1']",+66 89 471 7776,https://th.tripadvisor.com/Restaurant_Review-g1215781-d7003213-Reviews-B_Cat_Cafe_and_Restaurant-Phuket_Town_Phuket.html,{},"['Wifi ฟรี', 'ที่นั่ง', 'บริการเสิร์ฟถึงโต๊ะ']","['ฟิวชั่น', 'ร้านกาแฟ', 'ไทย']","33/34 Thepkasatree Road, เมืองภูเก็ต, จังหวัดภูเก็ต 83000 ไทย",ภูเก็ต,เมืองภูเก็ต,,83,8301,0,3.5,201
Juicy Lucy Burger & Bar,,฿69.00 – ฿379.00,7.885505,98.38751,"['https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1b/b3/1c/8c/a-selection-of-our-menu.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/74/f9/1d/fishburger-with-tartar.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/74/fb/06/fishburger-on-brioche.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/74/f9/69/custom-made-burger.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/74/f9/8c/juicy-lucy.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/74/fa/b7/our-vegetarian-burger.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/74/fa/d7/appetizers.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/74/fa/22/double-chicken-burger.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/74/fa/81/double-cheeseburger-on.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/18/a4/d5/b6/selection.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/74/f8/76/restaurant.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/74/fb/2a/strawberry-milkshake.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/74/f9/a9/chocolate-milkshake.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/74/f9/35/lamb-burger-with-cheese.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/74/f8/c3/old-town-murals.jpg?w=500&h=-1&s=1']",+66 98 348 6629,https://th.tripadvisor.com/Restaurant_Review-g2315818-d15645661-Reviews-Juicy_Lucy_Burger_Bar-Talat_Yai_Phuket_Town_Phuket.html,{},"['Wifi ฟรี', 'การจอง', 'ซื้อกลับบ้าน', 'ดนตรีสด', 'ที่จอดรถริมถนน', 'ที่จอดรถริมทางฟรี', 'ที่นั่ง', 'ที่นั่งกลางแจ้ง', 'บริการเครื่องดื่มแอลกอฮอล์', 'บริการเสิร์ฟถึงโต๊ะ', 'บาร์เต็มรูปแบบ', 'มีเก้าอี้สูงสำหรับเด็ก', 'รับชำระเงินแบบดิจิทัล', 'รับบัตรเครดิต', 'โทรทัศน์', 'ไวน์และเบียร์']","['บาร์', 'อเมริกัน']","8 ถนนเยาวราช, ตลาดใหญ่, เมืองภูเก็ต, จังหวัดภูเก็ต 83000 ไทย",ภูเก็ต,เมืองภูเก็ต,,83,8301,0,5,68
Ao yon seasAu Yon Seaside Restaurantide restaurant,,,7.811185,98.38843,"['https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/42/35/fe/photo3jpg.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/17/34/b3/b4/photo1jpg.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/b8/c9/00/20200125-171603-largejpg.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/18/85/1e/e1/photo6jpg.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/18/85/1e/e0/photo5jpg.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/19/fb/a4/e6/photo0jpg.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/42/35/fd/photo2jpg.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/42/35/fc/photo1jpg.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/5e/68/eb/photo0jpg.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/18/85/1e/de/photo3jpg.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/5e/68/ec/photo1jpg.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/18/85/1e/dd/photo2jpg.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/17/34/b3/b3/photo0jpg.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1b/21/1f/a2/ao-yon-seasau-yon-seaside.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/b8/c9/01/20200125-171607-largejpg.jpg?w=500&h=-1&s=1']",+66 95 372 4889,https://th.tripadvisor.com/Restaurant_Review-g2315814-d15699882-Reviews-Ao_yon_seasAu_Yon_Seaside_Restaurantide_restaurant-Wichit_Phuket_Town_Phuket.html,{},"['Wifi ฟรี', 'การจอง', 'ซื้อกลับบ้าน', 'ที่นั่ง', 'บริการเครื่องดื่มแอลกอฮอล์', 'บริการเสิร์ฟถึงโต๊ะ', 'รับบัตรเครดิต']","['เอเชีย', 'ไทย']","7/2 ม.8 ถ.ศักดิเดช, วิชิต, เมืองภูเก็ต, จังหวัดภูเก็ต 83000 ไทย",ภูเก็ต,เมืองภูเก็ต,,83,8301,0,4.5,63
Batumi Georgian Restaurant Phuket,,฿210.00 – ฿589.00,7.885381,98.39078,[''],+66 82 936 5152,https://th.tripadvisor.com/Restaurant_Review-g2315818-d25292457-Reviews-Batumi_Georgian_Restaurant_Phuket-Talat_Yai_Phuket_Town_Phuket.html,{},"['Wifi ฟรี', 'การจอง', 'ซื้อกลับบ้าน', 'ที่จอดรถริมถนน', 'ที่นั่ง', 'บริการเครื่องดื่มแอลกอฮอล์', 'บริการเสิร์ฟถึงโต๊ะ', 'รับบัตรเครดิต', 'แบบครอบครัว']","['คอเคเซีย', 'จอร์เจีย', 'ตุรกี', 'เมดิเตอร์เรเนียน', 'เลบานอน']","38 Thep Krasattri Rd, ตลาดใหญ่, เมืองภูเก็ต, จังหวัดภูเก็ต 83130 ไทย",ภูเก็ต,เมืองภูเก็ต,,83,8301,0,5,64
Soha Cuisine Halal Restaurant,,,7.839601,98.34804,"['https://dynamic-media-cdn.tripadvisor.com/media/photo-o/29/a8/e2/d7/wide-variety-of-halal.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/23/5d/f4/b1/spicy-seafood-spaghetti.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/23/5d/f5/82/soha-cuisine-halal-restaurant.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/29/aa/d3/66/beverage.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/23/5d/ef/16/soha-cuisine-halal-restaurant.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/29/a8/e2/d6/halal-thai-restaurant.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/23/5d/f4/a6/pad-thai.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/27/1d/03/29/caption.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/23/5d/f2/bd/soha-cuisine-halal-restaurant.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/23/5d/f5/90/soha-cuisine-halal-restaurant.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/29/e0/6a/4a/pasta-cream-shrimo.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/23/88/06/fb/thai-dishes.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/23/88/06/ef/thai-dishes.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/23/88/06/dc/thai-dishes.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/23/88/06/c8/thai-dishes.jpg?w=500&h=-1&s=1']",+66 63 973 5835,https://th.tripadvisor.com/Restaurant_Review-g1389361-d24042597-Reviews-Soha_Cuisine_Halal_Restaurant-Chalong_Phuket_Town_Phuket.html,{},[],"['ดีต่อสุขภาพ', 'ยุโรป', 'ร้านกาแฟ', 'อิตาลี', 'ไทย']","9/5 Phuket Country Home, ฉลอง, เมืองภูเก็ต, จังหวัดภูเก็ต 83130 ไทย",ภูเก็ต,เมืองภูเก็ต,,83,8301,0,4,7
MB All Seafood,,,7.921659,98.37121,[''],+66 62 290 1333,https://th.tripadvisor.com/Restaurant_Review-g1215781-d26691342-Reviews-MB_All_Seafood-Phuket_Town_Phuket.html,{},"['Mastercard', 'Visa', 'Wifi ฟรี', 'การรับประทานอาหารแบบส่วนตัว', 'ที่นั่ง', 'ที่นั่งกลางแจ้ง', 'บริการเครื่องดื่มแอลกอฮอล์', 'บริการเสิร์ฟถึงโต๊ะ', 'บาร์เต็มรูปแบบ', 'มีที่จอดรถ', 'รับชำระเงินแบบดิจิทัล', 'รับบัตรเครดิต', 'ร้านอาหารปลอดบุหรี่', 'แบบครอบครัว']","['จีน', 'ร้านอาหารมีเบียร์ให้บริการ', 'อาหารทะเล', 'อาหารฟิวชั่นสไตล์ญี่ปุ่น', 'ไทย']","170/6 Moo.5, เมืองภูเก็ต, จังหวัดภูเก็ต 83000 ไทย",ภูเก็ต,เมืองภูเก็ต,,83,8301,0,4.5,18
Ko Yoon Noodle Shop Phuket,,,7.883317,98.38724,"['https://dynamic-media-cdn.tripadvisor.com/media/photo-o/07/26/a6/82/delicious-noodles.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1c/de/04/de/ko-yoon-noodle-shop-phuket.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1c/b6/f6/b2/photo1jpg.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1c/de/04/ef/ko-yoon-noodle-shop-phuket.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1c/b6/f6/b3/photo2jpg.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/8f/9c/d9/noodle-dry.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0e/16/76/06/photo0jpg.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/e1/dc/51/soup-time-yummy.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0e/55/79/01/img-20170203-122804-largejpg.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/14/eb/ff/4b/delicious-noodles.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1c/de/04/e6/ko-yoon-noodle-shop-phuket.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/e1/dc/4c/photo-from-outside.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/17/00/4b/4b/photo0jpg.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/14/eb/ff/3a/stall-front.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0a/da/09/b2/photo1jpg.jpg?w=500&h=-1&s=1']",+66 84 189 5432,https://th.tripadvisor.com/Restaurant_Review-g1215781-d4178407-Reviews-Ko_Yoon_Noodle_Shop_Phuket-Phuket_Town_Phuket.html,{},[],"['ซุป', 'เอเชีย']","Suriyadet Circle, เมืองภูเก็ต, จังหวัดภูเก็ต ไทย",ภูเก็ต,เมืองภูเก็ต,,83,8301,0,4.5,32
