name,description,priceRange,latitude,longitude,imgPath,phone,website,facility,type,address,province,district,subDistrict,province_code,district_code,sub_district_code,score,ratingCount
Numnum Cafe & Restaurant Phuket Old Town,,฿100.00 – ฿300.00,7.886304,98.38663,"['https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2d/23/0c/48/outdoor.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2d/23/0c/47/indoor.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2d/23/0c/46/indoor.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2d/23/0c/45/indoor.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2d/23/0c/44/outdoor.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2d/23/0c/43/outdoor.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2d/23/0c/42/outdoor.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2d/23/0c/41/indoor.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2d/23/0c/3f/indoor.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2e/2a/4b/7c/caption.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2e/2a/4b/7b/caption.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2e/2a/4a/f6/caption.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2e/29/dc/36/caption.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2e/25/9b/6c/caption.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2e/1d/da/09/caption.jpg?w=500&h=-1&s=1']",+66 87 417 8770,https://th.tripadvisor.com/Restaurant_Review-g1215781-d27469669-Reviews-Numnum_Cafe_Restaurant_Phuket_Old_Town-Phuket_Town_Phuket.html,[],"['ตุรกี', 'เมดิเตอร์เรเนียน', 'ไทย']","No 60, Dibuk Rd, เมืองภูเก็ต, จังหวัดภูเก็ต 83000 ไทย",ภูเก็ต,เมืองภูเก็ต,,83,8301,0,5.0,75
ร้านอาหารเบียร์เฟสต์และโรงเบียร์คราฟท์เบียร์,,,7.9,98.36765,"['https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2b/3e/71/2e/caption.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2b/3e/73/06/caption.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2b/3e/73/0a/caption.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2b/3e/73/09/caption.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2b/3e/73/08/caption.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2b/3e/73/07/caption.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2b/3e/73/05/caption.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2b/3e/73/04/caption.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2b/3e/73/03/7.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2b/3e/71/38/150.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2b/3e/71/37/150.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2b/3e/71/36/caption.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2b/3e/71/35/caption.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2b/3e/71/34/caption.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2b/3e/71/33/caption.jpg?w=500&h=-1&s=1']",+66 86 488 4149,https://th.tripadvisor.com/Restaurant_Review-g2315814-d26679753-Reviews-Beerfest_Restaurant_And_Craft_Beer_Brewery_Phuket-Wichit_Phuket_Town_Phuket.html,[],"['ผับเบียร์', 'พิซซ่า', 'ยุโรป', 'ร้านอาหารมีเบียร์ให้บริการ', 'อิตาลี']","46/6 Mu. 5, วิชิต, เมืองภูเก็ต, จังหวัดภูเก็ต 83000 ไทย",ภูเก็ต,เมืองภูเก็ต,,83,8301,0,4.5,12
โกปี้เตี่ยม By วิไล,,,7.884778,98.38798,"['https://dynamic-media-cdn.tripadvisor.com/media/photo-o/03/43/dd/65/kopitiam-by-wilai.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0c/f0/42/08/20160912-155219-largejpg.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/39/b0/f4/photo1jpg.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0d/a2/d1/ff/photo1jpg.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/15/03/c8/66/img-20181012-133525-largejpg.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/09/94/72/d3/everything-was-so-good.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0d/8e/75/25/tom-yum.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/08/f0/b6/a5/photo2jpg.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/17/93/75/4e/20190518-115345-largejpg.jpg?w=500&h=-1&s=1', 'https://media-cdn.tripadvisor.com/media/photo-s/13/1f/3c/38/20180531-113639-largejpg.jpg', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/11/dc/b2/10/photo1jpg.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/17/9f/75/4d/img-20190520-110950-largejpg.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0a/3e/50/f9/photo1jpg.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0e/25/40/f3/kopitiam-by-wilai.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/14/eb/1f/eb/photo2jpg.jpg?w=500&h=-1&s=1']",+66 83 606 9776,https://th.tripadvisor.com/Restaurant_Review-g1215781-d3168082-Reviews-Kopitiam_by_Wilai-Phuket_Town_Phuket.html,"['Wifi ฟรี', 'ซื้อกลับบ้าน', 'ที่นั่ง', 'ที่นั่งกลางแจ้ง', 'บริการเครื่องดื่มแอลกอฮอล์', 'บริการเสิร์ฟถึงโต๊ะ', 'มีเก้าอี้สูงสำหรับเด็ก']","['เอเชีย', 'ไทย']","18 ถ. ถลาง, เมืองภูเก็ต, จังหวัดภูเก็ต 83000 ไทย",ภูเก็ต,เมืองภูเก็ต,,83,8301,0,4.5,1188
Amore Mexican Tapas & Bar,,"฿65.00 – ฿1,394.00",7.883562,98.39025,"['https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1c/24/71/63/seafood-soup-cioppino.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1c/5a/09/a9/cheesy-baked-mussels.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1c/e0/27/cf/healthy-vegetarian-nachos.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1c/0b/c2/52/giant-pulled-pork-quesadilla.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1c/e0/27/a5/chorizo-al-vino.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1c/e0/28/0a/scallops-citrus-saffron.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1c/0b/c3/48/super-beef-nachos.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1c/0b/c2/0f/giant-spinach-cheese.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1c/5a/09/ec/beef-burger.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1c/24/70/e7/corn-nachos.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1c/e0/27/81/mexican-stuffed-peppers.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1c/e0/28/8b/taco-salad.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1b/4e/1c/79/chipotle-chicken-wing.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1b/b8/05/8a/bbq-back-ribs.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/ee/19/0e/super-beef-nachos.jpg?w=500&h=-1&s=1']",+66 93 578 4987,https://th.tripadvisor.com/Restaurant_Review-g2315818-d13307440-Reviews-Amore_Mexican_Tapas_Bar-Talat_Yai_Phuket_Town_Phuket.html,"['Wifi ฟรี', 'การจอง', 'ซื้อกลับบ้าน', 'ที่นั่ง', 'บริการเครื่องดื่มแอลกอฮอล์', 'บริการเสิร์ฟถึงโต๊ะ', 'บาร์เต็มรูปแบบ', 'มีบัตรของขวัญ']",['เม็กซิกัน'],"88 ถนนพังงา, ตลาดใหญ่, เมืองภูเก็ต, จังหวัดภูเก็ต 83000 ไทย",ภูเก็ต,เมืองภูเก็ต,,83,8301,0,4.5,235
,,฿80.00 – ฿874.00,7.823929,98.33755,"['https://dynamic-media-cdn.tripadvisor.com/media/photo-o/07/c2/1c/16/baan-noy-restaurant.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/07/c2/1d/e9/baan-noy-restaurant.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0b/62/54/a6/at-baan-noy-restaurant.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0f/a9/ca/f0/t-bone.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/07/c2/1b/3e/baan-noy-restaurant.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/07/25/15/12/baan-noy-restaurant.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/07/e2/07/2b/baked-new-zealand-shells.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/07/c2/1b/36/baan-noy-restaurant.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1b/4f/c6/2d/baan-noy-restaurant.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/27/0c/b8/our-new-restaurant-1.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/09/76/c6/13/baan-noy-restaurant.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0b/62/54/a8/baan-noy-restaurant.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1b/4f/c6/2e/the-chef.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/27/0c/c1/our-new-restaurant-2.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/27/0c/c4/our-new-restaurant-3.jpg?w=500&h=-1&s=1']",+66 82 802 0162,https://th.tripadvisor.com/Restaurant_Review-g1389361-d7267941-Reviews-Baan_Noy_Restaurant-Chalong_Phuket_Town_Phuket.html,"['Wifi ฟรี', 'การจอง', 'ซื้อกลับบ้าน', 'ที่จอดรถริมทางฟรี', 'ที่นั่ง', 'บริการเครื่องดื่มแอลกอฮอล์', 'บริการเสิร์ฟถึงโต๊ะ', 'บาร์เต็มรูปแบบ', 'มีที่จอดรถ', 'มีเก้าอี้สูงสำหรับเด็ก', 'สะดวกสำหรับผู้ใช้รถเข็น', 'โทรทัศน์', 'ไวน์และเบียร์']","['ดีต่อสุขภาพ', 'ยุโรป', 'อาหารทะเล', 'เอเชีย', 'ไทย']","58/193 หมู่ 10 ถนนปฏัก ตรงข้ามปฏัก วิลล่า, ฉลอง, เมืองภูเก็ต, จังหวัดภูเก็ต 83130 ไทย",ภูเก็ต,เมืองภูเก็ต,,83,8301,0,4.5,533
Yon Ocean House,,,7.814569,98.392685,[''],+66 76 630 939,https://th.tripadvisor.com/Restaurant_Review-g2315814-d23680636-Reviews-Yon_Ocean_House-Wichit_Phuket_Town_Phuket.html,[],[],"Moo 8 Ao Yon Road, Wichit, Muang, Phuket 83000, วิชิต, เมืองภูเก็ต, จังหวัดภูเก็ต 83000 ไทย",ภูเก็ต,เมืองภูเก็ต,,83,8301,0,5.0,20
ศรีวรา บิสโทร แอนด์ คาเฟ่,,"฿75.00 – ฿1,449.00",7.864541,98.3472,"['https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2a/9d/ad/5f/caption.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2a/9d/ad/5d/chicken-burger-peri-peri.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/22/84/a1/56/caption.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2a/bb/db/53/caption.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2d/28/22/16/caption.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2d/28/22/15/caption.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2d/28/22/14/caption.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2d/28/22/13/caption.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2d/28/22/12/caption.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2c/f3/44/1a/caption.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2c/f3/44/19/caption.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2c/d6/28/71/caption.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2c/d6/28/70/caption.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2c/d6/28/6f/caption.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2c/d6/28/6e/caption.jpg?w=500&h=-1&s=1']",+66 76 626 699,https://th.tripadvisor.com/Restaurant_Review-g2315814-d23708006-Reviews-Sriwara_Bistro_Cafe-Wichit_Phuket_Town_Phuket.html,"['American Express', 'Mastercard', 'Visa', 'Wifi ฟรี', 'การจอง', 'การรับประทานอาหารแบบส่วนตัว', 'ซื้อกลับบ้าน', 'ดนตรีสด', 'ที่จอดรถริมถนน', 'ที่จอดรถริมทางฟรี', 'ที่นั่ง', 'ที่นั่งกลางแจ้ง', 'บริการเครื่องดื่มแอลกอฮอล์', 'บริการเสิร์ฟถึงโต๊ะ', 'บาร์เต็มรูปแบบ', 'มีที่จอดรถ', 'มีเก้าอี้สูงสำหรับเด็ก', 'รับชำระเงินแบบดิจิทัล', 'รับบัตรเครดิต', 'รับเฉพาะเงินสด', 'ริมน้ำ', 'ร้านอาหารปลอดบุหรี่', 'สะดวกสำหรับผู้ใช้รถเข็น', 'แบบครอบครัว', 'ไวน์และเบียร์']","['ฟิวชั่น', 'ยุโรป', 'ร่วมสมัย', 'เอเชีย', 'ไทย']","5/57 Moo 3, Chao Fah Tawan Tok Road, วิชิต, เมืองภูเก็ต, จังหวัดภูเก็ต 83130 ไทย",ภูเก็ต,เมืองภูเก็ต,,83,8301,0,5.0,104
AKOYA|Star Lounge,,,7.814352,98.39266,"['https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1f/34/6c/7f/best-rooftop-bar-phuket.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1f/34/f5/0f/akoya-star-lounge.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1f/34/f4/d4/akoya-star-lounge.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1f/34/f4/b9/akoya-star-lounge.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1f/34/f4/a5/akoya-star-lounge.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1f/34/c0/ef/akoya-star-lounge.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1f/34/c0/ba/akoya-star-lounge.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1f/34/c0/9c/akoya-star-lounge.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1f/34/97/f6/v-villa-phuket.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1f/34/6e/76/rooftop-bar.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1f/34/6d/9b/rooftop-bar.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1f/34/6b/a7/rooftop-bar.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1f/34/6b/23/seaview-bar.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1f/34/6a/8f/sunset.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2d/9a/8b/42/caption.jpg?w=500&h=-1&s=1']",+66 76 630 939,https://th.tripadvisor.com/Restaurant_Review-g2315814-d23682010-Reviews-AKOYA_Star_Lounge-Wichit_Phuket_Town_Phuket.html,[],"['นานาชาติ', 'ยุโรป', 'อาหารทะเล', 'ไทย']","39/39 Moo 8, Ao Yon Road, วิชิต, เมืองภูเก็ต, จังหวัดภูเก็ต 83000 ไทย",ภูเก็ต,เมืองภูเก็ต,,83,8301,0,4.5,18
ทุ่ง-คากาแฟ,,,7.892299,98.38058,"['https://dynamic-media-cdn.tripadvisor.com/media/photo-o/01/f6/f6/1b/tunk-ka-cafe2.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/10/49/a1/c0/a-must-to-be-there-restaurant.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1c/60/50/aa/20201121-181806-largejpg.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0b/10/8c/7f/tunk-ka-cafe.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0a/2f/b1/84/photo0jpg.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0e/25/0d/fc/photo0jpg.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0f/54/7c/e9/papaya-salad.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/15/79/58/ab/photo2jpg.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0b/b4/bd/55/photo2jpg.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/03/58/49/15/tunk-ka-cafe.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/18/8c/16/64/20190621-174213-largejpg.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0b/10/8d/07/tunk-ka-cafe.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0d/70/56/2e/tunk-ka-cafe.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0f/f7/55/73/photo4jpg.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0b/5c/44/94/caption.jpg?w=500&h=-1&s=1']",+66 80 821 1500,https://th.tripadvisor.com/Restaurant_Review-g1215781-d2218722-Reviews-Tunk_Ka_Cafe-Phuket_Town_Phuket.html,"['Wifi ฟรี', 'การจอง', 'ซื้อกลับบ้าน', 'ที่นั่ง', 'ที่นั่งกลางแจ้ง', 'บริการเครื่องดื่มแอลกอฮอล์', 'บริการเสิร์ฟถึงโต๊ะ', 'มีที่จอดรถ', 'มีเก้าอี้สูงสำหรับเด็ก', 'รับบัตรเครดิต']","['ร้านกาแฟ', 'ไทย']","ถนน คอซิมบี้ เขารัง ตำบลรัษฎา, เมืองภูเก็ต, จังหวัดภูเก็ต 83000 ไทย",ภูเก็ต,เมืองภูเก็ต,,83,8301,0,4.5,546
La Gaetana,,"฿865.00 – ฿3,459.00",7.876766,98.39359,"['https://dynamic-media-cdn.tripadvisor.com/media/photo-o/01/88/4e/29/hauptgericht.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0e/65/ad/9f/best-tiramisu-ever.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/07/f8/4b/e2/la-gaetana.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/80/2c/a4/photo2jpg.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/71/fc/b7/photo1jpg.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/17/54/3b/b1/photo1jpg.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/09/75/82/9f/la-gaetana.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/07/f8/4e/57/la-gaetana.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/09/75/82/86/la-gaetana.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/07/f7/99/a8/photo0jpg.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0e/65/ad/a1/best-tiramisu-ever.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/17/54/3b/b3/photo3jpg.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/18/0c/0f/f1/photo2jpg.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/12/5e/90/b6/photo0jpg.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/07/f7/99/a9/photo1jpg.jpg?w=500&h=-1&s=1']",+66 76 250 523,https://th.tripadvisor.com/Restaurant_Review-g1215781-d1090092-Reviews-La_Gaetana-Phuket_Town_Phuket.html,"['Wifi ฟรี', 'การจอง', 'ที่นั่ง', 'บริการเครื่องดื่มแอลกอฮอล์', 'บริการเสิร์ฟถึงโต๊ะ', 'บาร์เต็มรูปแบบ']","['ยุโรป', 'อิตาลี']","352 Phuket Road, เมืองภูเก็ต, จังหวัดภูเก็ต 8300 ไทย",ภูเก็ต,เมืองภูเก็ต,,83,8301,0,4.5,246
