name,sub_name,wongnai_url,restaurantType,facility,description,imgPath,phone,website,openingHour,priceRange,latitude,longitude,address,province,district,subDistrict,province_code,district_code,sub_district_code,score,ratingCount
Curve Garden,-,https://www.wongnai.com/restaurants/853416zg-curve-garden?_st=cD0wO2I9ODUzNDE2O2FkPWZhbHNlO3Q9MTcyNzQzODM5NzQ4NTtyaT0xWDdiNmJ6MWQxaVdwVGJYb01SOG1sUU5tOFBoT3Q7aT0xWDcwWnZrYzRRZWxNVVlibUVITGZpSVRFVjdxOEg7d3JlZj1zcjs%3D,"['สเต๊ก', 'ร้านกาแฟ/ชา', 'อาหารไทย']",[],,[''],[],{},{},,0,0,,,,,0,0,0,0,0
KFC,บางจาก มุกดาหาร,https://www.wongnai.com/restaurants/2206711xq-kfc-%E0%B8%9A%E0%B8%B2%E0%B8%87%E0%B8%88%E0%B8%B2%E0%B8%81-%E0%B8%A1%E0%B8%B8%E0%B8%81%E0%B8%94%E0%B8%B2%E0%B8%AB%E0%B8%B2%E0%B8%A3?_st=cD0xO2I9MjIwNjcxMTthZD1mYWxzZTt0PTE3Mjc0MzgzOTc0OTc7cmk9MVg3YjZiejFiRFpyWHZveHF1RE12QTZNTzh5UW9XO2k9MVg3MFp2a2M0UWVsTVVZYm1FSExmaUlURVY3cThIO3dyZWY9c3I7,['ฟาสต์ฟู้ด/จานด่วน'],[],,[''],[],{},{},,0,0,,,,,0,0,0,0,0
ครัวเวียดนาม,,https://www.wongnai.com/restaurants/95931OE-%E0%B8%84%E0%B8%A3%E0%B8%B1%E0%B8%A7%E0%B9%80%E0%B8%A7%E0%B8%B5%E0%B8%A2%E0%B8%94%E0%B8%99%E0%B8%B2%E0%B8%A1?_st=cD0yO2I9OTU5MzE7YWQ9ZmFsc2U7dD0xNzI3NDM4Mzk3NDk4O3JpPTFYN2I2YnoxWmtnRHZ3aTUxejJqTUtsWnVxanNYSDtpPTFYNzBadmtjNFFlbE1VWWJtRUhMZmlJVEVWN3E4SDt3cmVmPXNyOw%3D%3D,['อาหารไทย'],[],,[''],[],{},{},,0,0,,,,,0,0,0,0,0
ร้านปิ่นโตอิ่มอร่อย @มุก รับทำข้าวกล่อง,ปิ่นโต.,https://www.wongnai.com/restaurants/2480118Fi-%E0%B8%A3%E0%B9%89%E0%B8%B2%E0%B8%99%E0%B8%9B%E0%B8%B4%E0%B9%88%E0%B8%99%E0%B9%82%E0%B8%95%E0%B8%AD%E0%B8%B4%E0%B9%88%E0%B8%A1%E0%B8%AD%E0%B8%A3%E0%B9%88%E0%B8%AD%E0%B8%A2-%E0%B8%A1%E0%B8%B8%E0%B8%81-%E0%B8%A3%E0%B8%B1%E0%B8%9A%E0%B8%97%E0%B8%B3%E0%B8%82%E0%B9%89%E0%B8%B2%E0%B8%A7%E0%B8%81%E0%B8%A5%E0%B9%88%E0%B8%AD%E0%B8%87-%E0%B8%9B%E0%B8%B4%E0%B9%88%E0%B8%99%E0%B9%82%E0%B8%95?_st=cD0zO2I9MjQ4MDExODthZD1mYWxzZTt0PTE3Mjc0MzgzOTc0OTg7cmk9MVg3YjZiejFiNUxHVFVNZ3NQdEo4MjE3Z2g5S3BRO2k9MVg3MFp2a2M0UWVsTVVZYm1FSExmaUlURVY3cThIO3dyZWY9c3I7,"['อาหารตามสั่ง', 'อาหารจานเดียว', 'ฟาสต์ฟู้ด/จานด่วน']",[],,[''],[],{},{},,0,0,,,,,0,0,0,0,0
จิตราหมูหัน แก่งกะเบา,,https://www.wongnai.com/restaurants/330637mM-%E0%B8%88%E0%B8%B4%E0%B8%95%E0%B8%A3%E0%B8%B2%E0%B8%AB%E0%B8%A1%E0%B8%B9%E0%B8%AB%E0%B8%B1%E0%B8%99-%E0%B9%81%E0%B8%81%E0%B9%88%E0%B8%87%E0%B8%81%E0%B8%B0%E0%B9%80%E0%B8%9A%E0%B8%B2?_st=cD00O2I9MzMwNjM3O2FkPWZhbHNlO3Q9MTcyNzQzODM5NzQ5OTtyaT0xWDdiNmJ6MVdlQXVNcEtUZFQ4d3NGYnJCTGxBU0M7aT0xWDcwWnZrYzRRZWxNVVlibUVITGZpSVRFVjdxOEg7d3JlZj1zcjs%3D,['อาหารอีสาน/ร้านส้มตำ'],[],,[''],[],{},{},,0,0,,,,,0,0,0,0,0
ข้าวต้ม เสริมมิตร - จังหวัดมุกดาหาร,โดย ข้าวต้มเปาบุ้นจิ้น,https://www.wongnai.com/restaurants/393282aa-%E0%B8%82%E0%B9%89%E0%B8%B2%E0%B8%A7%E0%B8%95%E0%B9%89%E0%B8%A1-%E0%B9%80%E0%B8%AA%E0%B8%A3%E0%B8%B4%E0%B8%A1%E0%B8%A1%E0%B8%B4%E0%B8%95%E0%B8%A3-%E0%B8%88%E0%B8%B1%E0%B8%87%E0%B8%AB%E0%B8%A7%E0%B8%B1%E0%B8%94%E0%B8%A1%E0%B8%B8%E0%B8%81%E0%B8%94%E0%B8%B2%E0%B8%AB%E0%B8%B2%E0%B8%A3-%E0%B9%82%E0%B8%94%E0%B8%A2-%E0%B8%82%E0%B9%89%E0%B8%B2%E0%B8%A7%E0%B8%95%E0%B9%89%E0%B8%A1%E0%B9%80%E0%B8%9B%E0%B8%B2%E0%B8%9A%E0%B8%B8%E0%B9%89%E0%B8%99%E0%B8%88%E0%B8%B4%E0%B9%89%E0%B8%99?_st=cD01O2I9MzkzMjgyO2FkPWZhbHNlO3Q9MTcyNzQzODM5NzUxNztyaT0xWDdiNmJ6MWFDMWhscGdLeVRqVG5QcjNtb2gzN3c7aT0xWDcwWnZrYzRRZWxNVVlibUVITGZpSVRFVjdxOEg7d3JlZj1zcjs%3D,['ร้านข้าวต้ม'],[],,[''],[],{},{},,0,0,,,,,0,0,0,0,0
ข้าวจี่ปาเต้ สี่แยกตลาดหมู,,https://www.wongnai.com/restaurants/459633HK-%E0%B8%82%E0%B9%89%E0%B8%B2%E0%B8%A7%E0%B8%88%E0%B8%B5%E0%B9%88%E0%B8%9B%E0%B8%B2%E0%B9%80%E0%B8%95%E0%B9%89-%E0%B8%AA%E0%B8%B5%E0%B9%88%E0%B9%81%E0%B8%A2%E0%B8%81%E0%B8%95%E0%B8%A5%E0%B8%B2%E0%B8%94%E0%B8%AB%E0%B8%A1%E0%B8%B9?_st=cD02O2I9NDU5NjMzO2FkPWZhbHNlO3Q9MTcyNzQzODM5NzUxODtyaT0xWDdiNmJ6MWRZS2NDZEo3bTh4R3lGVWREalNERnI7aT0xWDcwWnZrYzRRZWxNVVlibUVITGZpSVRFVjdxOEg7d3JlZj1zcjs%3D,"['อาหารนานาชาติ', 'อาหารฟิวชั่น']",[],,[''],[],{},{},,0,0,,,,,0,0,0,0,0
Nez patisserie,มุกดาหาร,https://www.wongnai.com/restaurants/898835oE-nez-patisserie-%E0%B8%A1%E0%B8%B8%E0%B8%81%E0%B8%94%E0%B8%B2%E0%B8%AB%E0%B8%B2%E0%B8%A3?_st=cD03O2I9ODk4ODM1O2FkPWZhbHNlO3Q9MTcyNzQzODM5NzUyMztyaT0xWDdiNmJ6MVloZURDamxLbDM3N0dZRDNEQVBLYUw7aT0xWDcwWnZrYzRRZWxNVVlibUVITGZpSVRFVjdxOEg7d3JlZj1zcjs%3D,"['คาเฟ่', 'อาหารจานเดียว', 'เบเกอรี/เค้ก']",[],,[''],[],{},{},,0,0,,,,,0,0,0,0,0
ร้านอาหารนัดพบริมโขง,,https://www.wongnai.com/restaurants/16356CZ-%E0%B8%A3%E0%B9%89%E0%B8%B2%E0%B8%99%E0%B8%AD%E0%B8%B2%E0%B8%AB%E0%B8%B2%E0%B8%A3%E0%B8%99%E0%B8%B1%E0%B8%94%E0%B8%9E%E0%B8%9A%E0%B8%A3%E0%B8%B4%E0%B8%A1%E0%B9%82%E0%B8%82%E0%B8%87?_st=cD04O2I9MTYzNTY7YWQ9ZmFsc2U7dD0xNzI3NDM4Mzk3NTI0O3JpPTFYN2I2YnoxYTY2VTAwelJVY1ViNDlNVU9oYUI3eTtpPTFYNzBadmtjNFFlbE1VWWJtRUhMZmlJVEVWN3E4SDt3cmVmPXNyOw%3D%3D,"['อาหารไทย', 'ร้านริมน้ำ']",[],,[''],[],{},{},,0,0,,,,,0,0,0,0,0
รัตติยาแจ่วฮ้อน,สาขา 2,https://www.wongnai.com/restaurants/96012Ko-%E0%B8%A3%E0%B8%B1%E0%B8%95%E0%B8%95%E0%B8%B4%E0%B8%A2%E0%B8%B2%E0%B9%81%E0%B8%88%E0%B9%88%E0%B8%A7%E0%B8%AE%E0%B9%89%E0%B8%AD%E0%B8%99-%E0%B8%AA%E0%B8%B2%E0%B8%82%E0%B8%B2-2?_st=cD05O2I9OTYwMTI7YWQ9ZmFsc2U7dD0xNzI3NDM4Mzk3NTI0O3JpPTFYN2I2YnoxY3pWWXdMeHhUUDFXWDFnOHlsQkFwQTtpPTFYNzBadmtjNFFlbE1VWWJtRUhMZmlJVEVWN3E4SDt3cmVmPXNyOw%3D%3D,['อาหารไทย'],[],,[''],[],{},{},,0,0,,,,,0,0,0,0,0
